age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
25,Private,41600,Bachelors,13,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
17,Self-emp-not-inc,119165,12th,8,Never-married,Craft-repair,Own-child,White,Male,0,0,10,Columbia,<=50K
45,Private,307333,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,35,United-States,>50K
18,Private,276544,12th,8,Never-married,Sales,Own-child,White,Male,0,0,15,United-States,<=50K
27,Self-emp-not-inc,208577,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,30,United-States,<=50K
23,Private,380199,Assoc-acdm,12,Never-married,Farming-fishing,Unmarried,White,Male,0,0,40,United-States,<=50K
20,Private,80653,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,16,United-States,<=50K
27,Private,195625,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
23,Private,122244,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
31,Private,132521,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
65,Self-emp-not-inc,215721,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K
50,Private,256916,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,0,0,32,United-States,<=50K
23,Private,205516,HS-grad,9,Never-married,Sales,Other-relative,White,Female,0,0,40,United-States,<=50K
41,Private,113324,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
39,Private,34848,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,4064,0,40,United-States,<=50K
22,Private,261278,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Black,Female,0,0,40,United-States,<=50K
59,Federal-gov,180519,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
35,Private,107437,Some-college,10,Divorced,Sales,Not-in-family,Asian-Pac-Islander,Male,0,0,60,Japan,<=50K
40,Self-emp-not-inc,191042,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,48,South,<=50K
73,?,141572,HS-grad,9,Widowed,?,Not-in-family,White,Female,0,0,3,United-States,<=50K
37,Private,187589,Some-college,10,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,<=50K
35,Private,198956,Some-college,10,Divorced,Sales,Own-child,White,Male,0,0,45,United-States,<=50K
35,Private,213922,Assoc-voc,11,Divorced,Sales,Not-in-family,White,Male,27828,0,60,United-States,>50K
52,Private,139814,10th,6,Separated,Transport-moving,Unmarried,White,Male,0,0,40,United-States,<=50K
20,Private,137767,Some-college,10,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,40,United-States,<=50K
81,,158841,HS-grad,9,Never-married,,Not-in-family,White,Female,0,0,14,United-States,<=50K
26,Private,421967,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Mexico,<=50K
45,Private,204329,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
45,Local-gov,154940,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,35,United-States,<=50K
28,Private,213275,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K
24,Private,194227,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
39,Self-emp-not-inc,143078,Assoc-voc,11,Divorced,Exec-managerial,Not-in-family,White,Female,14344,0,60,United-States,>50K
47,Private,116620,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,<=50K
41,Private,163050,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
23,Private,212391,Some-college,10,Never-married,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
38,Private,166494,Bachelors,13,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,35,United-States,<=50K
24,?,221966,Bachelors,13,Never-married,?,Own-child,White,Male,0,0,40,United-States,<=50K
43,Private,27129,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,>50K
30,Private,72575,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
43,Private,32207,Bachelors,13,Divorced,Sales,Unmarried,White,Female,0,0,40,United-States,<=50K
40,Private,247514,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
34,Local-gov,288276,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,35,United-States,<=50K
38,Local-gov,211410,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,40,United-States,>50K
34,Private,196343,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,2290,0,38,United-States,<=50K
32,Private,244084,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,5178,0,45,United-States,>50K
35,Private,506661,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
70,Self-emp-not-inc,197393,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,6418,0,75,United-States,>50K
30,Private,125933,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,>50K
47,Private,98360,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
61,,371417,HS-grad,9,Widowed,,Not-in-family,White,Female,0,0,40,United-States,<=50K
25,Private,139229,10th,6,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
51,Local-gov,239354,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,7298,0,40,United-States,>50K
17,Private,173670,12th,8,Never-married,Other-service,Other-relative,Black,Male,0,0,35,United-States,<=50K
39,Private,52187,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,15024,0,50,United-States,>50K
62,Private,271587,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Columbia,<=50K
29,Federal-gov,95632,Some-college,10,Divorced,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
52,Private,177049,Some-college,10,Divorced,Tech-support,Unmarried,Black,Female,0,0,40,United-States,<=50K
29,Private,315000,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
38,Private,207266,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
29,Private,156260,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,Black,Female,0,0,50,United-States,<=50K
44,Private,179155,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,20,England,>50K
44,Private,74462,Bachelors,13,Never-married,Other-service,Not-in-family,White,Female,0,0,45,United-States,<=50K
46,Local-gov,246891,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,38,United-States,>50K
24,Private,150366,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,2202,0,30,United-States,<=50K
58,Private,159841,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Female,0,0,40,United-States,<=50K
52,Private,337246,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
47,Private,187320,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
43,Private,195483,HS-grad,9,Separated,Adm-clerical,Not-in-family,White,Female,0,0,50,Canada,<=50K
65,Private,149614,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
51,Local-gov,108435,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,30,United-States,<=50K
32,Private,72887,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,60,United-States,<=50K
24,Private,185706,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
19,Private,227529,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50K
29,Private,198523,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,1590,40,United-States,<=50K
36,Private,212841,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
37,Federal-gov,187089,Bachelors,13,Divorced,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
21,Private,361624,Some-college,10,Never-married,Machine-op-inspct,Unmarried,Other,Male,0,0,50,United-States,<=50K
53,Private,175652,HS-grad,9,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,<=50K
44,Private,93621,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
37,Private,106014,Some-college,10,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
28,Local-gov,140244,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,60,United-States,>50K
58,Self-emp-not-inc,206866,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,3781,0,70,United-States,<=50K
45,Self-emp-not-inc,150483,Some-college,10,Divorced,Farming-fishing,Unmarried,White,Male,0,0,40,United-States,<=50K
30,Private,35644,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
61,Private,156852,9th,5,Separated,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,<=50K
42,Private,239462,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,0,0,32,Canada,<=50K
44,Private,183985,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,,>50K
38,Private,159461,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
19,Private,176572,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,25,United-States,<=50K
35,Private,51164,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,<=50K
34,Private,195541,12th,8,Never-married,Sales,Own-child,Black,Female,8614,0,40,United-States,>50K
41,Private,222086,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,44,United-States,>50K
37,Self-emp-not-inc,24669,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,60,Germany,>50K
51,Self-emp-inc,30328,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Male,27828,0,60,United-States,>50K
33,Local-gov,143152,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,37,United-States,<=50K
27,Private,110062,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
23,Private,219546,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States,<=50K
51,State-gov,312810,Some-college,10,Divorced,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States,<=50K
45,Private,179482,Assoc-voc,11,Never-married,Prof-specialty,Unmarried,White,Female,0,0,50,United-States,<=50K
28,Private,185765,Some-college,10,Never-married,Farming-fishing,Not-in-family,Black,Male,2176,0,25,United-States,<=50K
27,Private,299472,HS-grad,9,Never-married,Prof-specialty,Other-relative,Black,Female,0,0,40,United-States,<=50K
55,Private,132208,10th,6,Divorced,Sales,Not-in-family,White,Female,0,0,45,United-States,<=50K
44,Private,189670,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,55,United-States,>50K
22,Private,26840,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,20,United-States,<=50K
42,Private,198096,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,35,United-States,>50K
46,Private,350451,10th,6,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
46,Local-gov,187342,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,7688,0,40,United-States,>50K
61,Private,460662,12th,8,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,<=50K
46,Self-emp-not-inc,192363,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
36,Local-gov,339142,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,0,0,55,Germany,<=50K
20,,194740,Some-college,10,Never-married,,Own-child,White,Male,0,0,40,United-States,<=50K
55,State-gov,310546,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,1726,40,United-States,<=50K
28,Private,216079,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
53,Private,159755,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K
37,Private,308491,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,<=50K
21,Private,149604,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
38,Private,170174,9th,5,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,42,United-States,>50K
24,Private,430366,Bachelors,13,Never-married,Transport-moving,Unmarried,White,Male,0,0,50,United-States,<=50K
33,Private,201141,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,50,United-States,<=50K
62,Private,132280,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
23,Federal-gov,197323,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,<=50K
47,Private,194454,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,45,United-States,>50K
37,Private,82559,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
34,Local-gov,179600,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,60,United-States,>50K
45,Private,216414,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States,<=50K
33,Federal-gov,50494,Some-college,10,Never-married,Exec-managerial,Not-in-family,Black,Female,0,0,34,United-States,<=50K
53,Federal-gov,98352,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1740,40,United-States,<=50K
40,Private,49020,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50,United-States,>50K
48,State-gov,188694,Doctorate,16,Divorced,Prof-specialty,Unmarried,White,Female,0,0,16,?,>50K
30,Private,260668,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
27,Private,131209,11th,7,Never-married,Farming-fishing,Own-child,Black,Male,0,0,40,United-States,<=50K
80,?,273043,Masters,14,Married-civ-spouse,?,Husband,White,Male,0,0,2,United-States,<=50K
35,State-gov,127651,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,35,United-States,>50K
50,Private,154774,Assoc-voc,11,Widowed,Exec-managerial,Unmarried,White,Female,0,0,50,United-States,<=50K
40,Private,207578,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
40,Private,129707,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,7298,0,45,United-States,>50K
42,Private,297395,7th-8th,4,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,36,United-States,<=50K
38,Private,180803,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,99,United-States,>50K
51,Private,308437,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Canada,>50K
50,Private,57433,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,>50K
35,Self-emp-not-inc,28966,Some-college,10,Separated,Other-service,Unmarried,White,Female,0,0,15,United-States,<=50K
26,Private,154293,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
29,Private,36982,Assoc-voc,11,Never-married,Adm-clerical,Own-child,White,Female,0,1564,40,United-States,>50K
64,Private,148580,Bachelors,13,Divorced,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,<=50K
21,Private,107483,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,15,United-States,<=50K
36,Private,203071,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K
35,Private,49020,Bachelors,13,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
17,Private,216907,12th,8,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,12,Mexico,<=50K
37,State-gov,382735,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
41,Private,203574,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Mexico,<=50K
58,Private,197489,11th,7,Never-married,Other-service,Not-in-family,Black,Female,0,0,32,United-States,<=50K
37,Private,148189,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,15,United-States,>50K
27,Private,167436,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,45,United-States,>50K
33,Private,90531,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
50,Private,53497,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
47,Private,185072,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,35,United-States,<=50K
43,Private,279800,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K
41,Local-gov,99969,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,Canada,<=50K
40,Private,32221,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,60,United-States,>50K
45,Local-gov,202068,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
48,Private,298436,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,60,United-States,<=50K
43,Federal-gov,206677,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,15,United-States,>50K
36,Private,316143,5th-6th,3,Married-spouse-absent,Transport-moving,Not-in-family,White,Male,0,0,25,Mexico,<=50K
55,Private,312528,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
52,Private,203487,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
52,Private,122173,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,<=50K
33,Private,156015,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K
45,Local-gov,171269,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,36,United-States,>50K
34,Self-emp-inc,303488,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,15024,0,60,United-States,>50K
29,Private,178564,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States,<=50K
51,Local-gov,192659,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Male,0,0,60,United-States,<=50K
44,State-gov,50121,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,80,United-States,>50K
37,Private,75955,Assoc-voc,11,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
47,Private,261082,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
46,Private,271337,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,<=50K
23,Private,289943,HS-grad,9,Never-married,Protective-serv,Other-relative,White,Male,0,0,42,United-States,<=50K
44,Private,120277,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
61,State-gov,224441,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,1740,40,United-States,<=50K
47,Federal-gov,167081,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,4064,0,40,United-States,<=50K
42,Private,118059,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,<=50K
32,Local-gov,206609,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
35,Self-emp-not-inc,48474,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,4064,0,50,United-States,<=50K
56,Self-emp-not-inc,154361,11th,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,72,United-States,<=50K
31,Private,260782,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,50,United-States,<=50K
29,Private,97242,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
41,Self-emp-not-inc,161482,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
35,Private,140915,Bachelors,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,0,40,India,>50K
22,Private,49343,Some-college,10,Never-married,Other-service,Own-child,Black,Male,0,0,40,United-States,<=50K
41,Private,167099,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
58,Private,238321,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
45,Self-emp-inc,253134,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,60,United-States,<=50K
57,Local-gov,146341,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
33,Private,181384,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
40,Private,162128,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Female,0,0,30,United-States,<=50K
36,Self-emp-inc,183848,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,7688,0,60,United-States,>50K
41,State-gov,191344,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,>50K
45,Self-emp-inc,107231,Some-college,10,Divorced,Sales,Not-in-family,Asian-Pac-Islander,Male,0,0,50,South,>50K
50,Private,173949,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,1848,40,United-States,>50K
49,Self-emp-not-inc,208470,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2829,0,40,United-States,<=50K
32,Private,45796,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,60,United-States,<=50K
54,Private,188846,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,<=50K
42,Local-gov,112110,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,1887,35,United-States,>50K
32,Private,194740,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
47,Private,44367,Assoc-acdm,12,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
59,Private,190539,HS-grad,9,Separated,Farming-fishing,Unmarried,White,Male,0,0,40,United-States,<=50K
46,Private,346183,Bachelors,13,Divorced,Sales,Unmarried,White,Male,0,2559,50,United-States,>50K
44,Federal-gov,214016,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,40,United-States,>50K
23,Private,305259,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,30,United-States,<=50K
47,Private,147540,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K
32,Private,239571,Assoc-acdm,12,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K
36,Private,322174,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,>50K
61,Local-gov,297443,HS-grad,9,Divorced,Protective-serv,Not-in-family,Black,Male,0,0,40,United-States,<=50K
19,?,70120,Some-college,10,Never-married,?,Own-child,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
44,State-gov,262062,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
34,Private,80556,Bachelors,13,Never-married,Other-service,Other-relative,White,Female,0,0,25,United-States,<=50K
32,Private,291792,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
