Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
39,d,c,15140.0,2.0,2002.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
40,a,a,2090.0,10.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
41,a,a,40.0,3.0,2014.0,1,1.0,2014.0,"Jan,Apr,Jul,Oct"
42,a,a,250.0,6.0,2008.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct"
43,c,c,2510.0,8.0,2009.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
44,a,a,420.0,6.0,2014.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
45,c,c,460.0,11.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
46,a,a,90.0,11.0,2012.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
47,d,c,2770.0,6.0,2008.0,1,22.0,2011.0,"Jan,Apr,Jul,Oct"
48,d,a,3900.0,4.0,2005.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
49,d,a,8670.0,2.0,2002.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
50,a,a,560.0,10.0,2014.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
51,a,c,2310.0,9.0,2011.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
52,d,a,18610.0,11.0,2002.0,1,48.0,2011.0,"Mar,Jun,Sept,Dec"
53,c,a,1620.0,9.0,2009.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
54,d,c,15140.0,2.0,2002.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
55,a,a,220.0,2.0,2002.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
56,d,a,10310.0,4.0,2003.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
57,a,a,390.0,2.0,2013.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
58,a,a,40.0,2.0,2014.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
59,a,a,650.0,7.0,2006.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
60,c,a,200.0,7.0,1998.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
61,d,c,1460.0,4.0,2014.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
62,a,c,270.0,2.0,2013.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
63,c,a,2240.0,11.0,2009.0,1,27.0,2013.0,"Jan,Apr,Jul,Oct"
64,d,c,15140.0,2.0,2002.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
65,d,a,15040.0,10.0,2004.0,1,10.0,2013.0,"Mar,Jun,Sept,Dec"
66,a,a,190.0,9.0,2012.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
67,a,c,600.0,5.0,2002.0,1,10.0,2013.0,"Jan,Apr,Jul,Oct"
68,a,a,220.0,2.0,2002.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
69,a,a,330.0,3.0,2008.0,1,1.0,2012.0,"Mar,Jun,Sept,Dec"
70,a,a,390.0,2.0,2013.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
71,c,c,5390.0,8.0,2003.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
72,a,a,17500.0,8.0,2008.0,1,37.0,2009.0,"Mar,Jun,Sept,Dec"
73,d,c,17110.0,3.0,2007.0,1,5.0,2011.0,"Jan,Apr,Jul,Oct"
74,a,a,330.0,3.0,2008.0,1,1.0,2012.0,"Mar,Jun,Sept,Dec"
75,d,a,1120.0,5.0,2007.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
76,d,c,330.0,9.0,2008.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
77,a,a,2090.0,10.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
78,a,a,290.0,4.0,2006.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
79,a,a,90.0,6.0,2012.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
80,c,c,1130.0,6.0,2015.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
81,a,c,2270.0,11.0,2005.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
82,d,a,17280.0,10.0,2014.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
83,a,a,720.0,3.0,2014.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
84,a,a,4140.0,9.0,2012.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
85,a,a,720.0,9.0,2002.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
86,a,a,520.0,9.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
87,c,a,290.0,9.0,2002.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
88,a,a,540.0,5.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
89,d,c,12480.0,3.0,2012.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
90,a,a,460.0,11.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
91,a,a,340.0,10.0,2000.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
92,c,c,3530.0,6.0,2012.0,1,35.0,2012.0,"Mar,Jun,Sept,Dec"
93,d,c,18640.0,9.0,2009.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
94,d,a,300.0,7.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
95,c,a,550.0,12.0,2002.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
96,c,c,80.0,1.0,2005.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
97,c,c,3290.0,1.0,2007.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
98,a,a,2060.0,4.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
99,c,a,550.0,7.0,2013.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
100,a,c,100.0,4.0,2014.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
101,a,c,170.0,2.0,2009.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct"
102,a,c,1060.0,5.0,2009.0,1,27.0,2012.0,"Feb,May,Aug,Nov"
103,a,a,1420.0,5.0,2007.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
104,a,a,350.0,12.0,2012.0,1,9.0,2011.0,"Feb,May,Aug,Nov"
105,a,a,220.0,2.0,2002.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
106,a,a,1420.0,10.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
107,a,a,2090.0,10.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
108,a,a,100.0,5.0,2007.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
109,a,a,330.0,7.0,2008.0,1,1.0,2012.0,"Mar,Jun,Sept,Dec"
110,a,a,650.0,7.0,2004.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
111,a,a,150.0,9.0,2008.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
112,a,c,350.0,8.0,1999.0,1,22.0,2011.0,"Feb,May,Aug,Nov"
113,a,a,520.0,3.0,2009.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
114,a,a,330.0,11.0,2008.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
115,d,c,2870.0,7.0,2015.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
116,c,c,3700.0,6.0,2007.0,1,18.0,2010.0,"Feb,May,Aug,Nov"
117,a,a,150.0,3.0,2008.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
118,c,c,490.0,5.0,2007.0,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
119,a,a,1100.0,6.0,2015.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
120,d,c,2190.0,9.0,2007.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
121,c,a,1200.0,12.0,2007.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
122,d,a,510.0,7.0,2014.0,1,23.0,2015.0,"Mar,Jun,Sept,Dec"
123,d,a,2380.0,3.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
124,a,c,2270.0,9.0,2005.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
125,c,c,5390.0,8.0,2003.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
126,c,a,4030.0,2.0,2014.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
127,d,a,5070.0,11.0,2007.0,1,18.0,2015.0,"Feb,May,Aug,Nov"
128,a,c,2030.0,8.0,2000.0,1,18.0,2013.0,"Feb,May,Aug,Nov"
129,a,a,1640.0,2.0,2013.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
130,a,a,2060.0,10.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
131,d,a,3140.0,7.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
132,a,a,340.0,10.0,2000.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
133,d,a,14300.0,3.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
134,a,c,370.0,7.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
135,a,a,150.0,2.0,2008.0,1,31.0,2013.0,"Mar,Jun,Sept,Dec"
136,a,a,1060.0,5.0,2012.0,1,27.0,2011.0,"Feb,May,Aug,Nov"
137,a,a,280.0,4.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
138,c,a,550.0,7.0,2013.0,1,45.0,2009.0,"Jan,Apr,Jul,Oct"
139,d,c,6620.0,3.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
140,a,a,540.0,6.0,2011.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
141,a,a,180.0,3.0,2008.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
142,a,a,290.0,10.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
143,d,c,9910.0,12.0,2010.0,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
144,d,c,3290.0,12.0,1999.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
145,d,c,330.0,12.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
146,d,a,18610.0,5.0,2015.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
147,d,c,3290.0,12.0,2014.0,1,35.0,2012.0,"Mar,Jun,Sept,Dec"
148,a,a,300.0,11.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
149,d,c,2870.0,9.0,2012.0,1,35.0,2012.0,"Mar,Jun,Sept,Dec"
150,c,c,5830.0,9.0,2011.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
151,a,c,460.0,11.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
152,a,a,250.0,6.0,2008.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
153,b,b,150.0,9.0,2008.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
154,c,a,260.0,6.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
155,a,a,180.0,3.0,2008.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
156,a,a,2090.0,10.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
157,a,a,2090.0,10.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
158,d,c,9360.0,7.0,2013.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
159,a,a,3750.0,11.0,2001.0,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
160,d,a,10310.0,4.0,2003.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
161,a,a,220.0,2.0,2002.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
162,a,a,520.0,9.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
163,a,a,17500.0,8.0,2008.0,1,37.0,2009.0,"Mar,Jun,Sept,Dec"
164,a,a,90.0,7.0,2012.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
165,d,a,3910.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
166,d,a,8650.0,7.0,2013.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
167,d,c,970.0,3.0,1999.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
168,d,c,7660.0,10.0,2000.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
169,d,a,5070.0,11.0,2007.0,1,18.0,2015.0,"Feb,May,Aug,Nov"
170,d,c,6620.0,3.0,2012.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
171,a,a,1060.0,5.0,2009.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
172,a,a,1070.0,12.0,2006.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
173,a,a,150.0,9.0,2008.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
174,a,c,350.0,12.0,2012.0,1,22.0,2012.0,"Feb,May,Aug,Nov"
175,d,a,260.0,2.0,2012.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
176,a,a,190.0,6.0,2008.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
177,a,c,100.0,6.0,2014.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
178,a,a,460.0,11.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
179,c,a,3490.0,4.0,2011.0,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
180,a,a,460.0,3.0,2014.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
181,a,a,180.0,3.0,2008.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
182,d,c,9360.0,7.0,2013.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
183,a,a,460.0,11.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
184,a,a,2060.0,10.0,2008.0,1,26.0,2010.0,"Jan,Apr,Jul,Oct"
185,c,a,40.0,2.0,2014.0,1,31.0,2009.0,"Feb,May,Aug,Nov"
186,d,a,850.0,2.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
187,d,c,2870.0,7.0,2008.0,1,35.0,2012.0,"Mar,Jun,Sept,Dec"
188,a,a,250.0,2.0,2008.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
189,a,a,290.0,12.0,2006.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
190,a,a,180.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
191,d,c,3290.0,12.0,2014.0,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
192,a,a,120.0,11.0,2009.0,1,36.0,2013.0,"Jan,Apr,Jul,Oct"
193,a,a,560.0,10.0,2014.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
194,d,c,5540.0,10.0,2009.0,1,18.0,2013.0,"Feb,May,Aug,Nov"
195,a,a,2260.0,11.0,2007.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
196,a,a,330.0,9.0,2008.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
197,a,c,170.0,2.0,2013.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
198,d,c,330.0,11.0,2008.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
199,a,a,290.0,9.0,2008.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
200,d,a,2380.0,3.0,2014.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
201,c,a,1700.0,1.0,2008.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
202,a,a,70.0,11.0,2004.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
203,d,a,510.0,7.0,2014.0,1,23.0,2015.0,"Mar,Jun,Sept,Dec"
204,c,c,530.0,4.0,2005.0,1,35.0,2010.0,"Mar,Jun,Sept,Dec"
205,a,c,2310.0,9.0,2011.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
206,a,c,2030.0,8.0,2000.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
207,d,c,5540.0,10.0,2009.0,1,27.0,2013.0,"Feb,May,Aug,Nov"
208,a,a,620.0,10.0,2014.0,1,18.0,2014.0,"Feb,May,Aug,Nov"
209,d,a,3140.0,7.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
210,a,a,1640.0,6.0,2006.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
211,a,a,340.0,6.0,2003.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
212,a,a,1200.0,9.0,2008.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
213,a,a,340.0,6.0,2003.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
214,a,a,330.0,11.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
215,a,a,120.0,4.0,2009.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
216,c,c,80.0,6.0,2005.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
217,a,c,11680.0,9.0,2011.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
218,a,a,17500.0,2.0,2008.0,1,37.0,2009.0,"Mar,Jun,Sept,Dec"
219,d,c,5870.0,4.0,2014.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
220,a,a,2890.0,4.0,2007.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
221,c,a,3740.0,2.0,2002.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
222,a,a,180.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
223,c,c,490.0,5.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
224,a,a,150.0,9.0,2008.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
225,a,a,190.0,6.0,2011.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
226,d,c,2770.0,3.0,2008.0,1,22.0,2011.0,"Jan,Apr,Jul,Oct"
227,a,a,330.0,11.0,2007.0,1,23.0,2015.0,"Mar,Jun,Sept,Dec"
228,d,c,5650.0,9.0,2008.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
229,d,c,2180.0,9.0,2012.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
230,d,a,18670.0,12.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
231,c,a,450.0,4.0,2015.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
232,d,c,6300.0,10.0,2013.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
233,a,a,300.0,12.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
234,d,c,1090.0,7.0,2007.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
235,d,c,12480.0,3.0,2011.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
236,a,a,40.0,3.0,2014.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
237,a,a,120.0,4.0,2009.0,1,27.0,2013.0,"Feb,May,Aug,Nov"
238,d,c,18640.0,9.0,2013.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
239,a,a,390.0,2.0,2013.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
240,a,a,180.0,11.0,2013.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
241,d,c,7660.0,9.0,2010.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
242,a,c,1060.0,5.0,2009.0,1,27.0,2012.0,"Feb,May,Aug,Nov"
243,a,a,40.0,2.0,2014.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
244,a,a,1640.0,2.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
245,a,a,340.0,10.0,2000.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
246,d,c,9910.0,12.0,2010.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
247,a,a,220.0,2.0,2002.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
248,b,a,720.0,6.0,2014.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
249,a,a,17500.0,9.0,2001.0,1,37.0,2009.0,"Mar,Jun,Sept,Dec"
250,a,a,310.0,12.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
251,c,a,1700.0,1.0,2008.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
252,a,a,180.0,11.0,2013.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
253,d,c,17110.0,3.0,2007.0,1,5.0,2010.0,"Jan,Apr,Jul,Oct"
254,d,a,6400.0,3.0,2014.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
255,a,a,290.0,9.0,2008.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
256,d,a,3900.0,4.0,2005.0,1,45.0,2009.0,"Feb,May,Aug,Nov"
257,d,c,7170.0,8.0,2014.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
258,c,a,190.0,11.0,2008.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
259,a,a,1200.0,7.0,2011.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
260,d,a,1340.0,12.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
261,d,a,2110.0,11.0,2006.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
262,a,c,50.0,11.0,2006.0,1,22.0,2011.0,"Jan,Apr,Jul,Oct"
263,d,a,3370.0,12.0,2014.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
264,c,a,60.0,1.0,2005.0,1,5.0,2011.0,"Jan,Apr,Jul,Oct"
265,a,c,5380.0,8.0,2015.0,1,10.0,2013.0,"Mar,Jun,Sept,Dec"
266,a,a,70.0,11.0,2004.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
267,a,a,90.0,11.0,2012.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
268,a,a,1420.0,10.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
269,a,a,350.0,12.0,2012.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
270,a,c,350.0,12.0,2012.0,1,9.0,2011.0,"Feb,May,Aug,Nov"
271,a,a,120.0,9.0,2009.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
272,a,a,90.0,7.0,2010.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
273,d,c,5540.0,10.0,2009.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
274,c,c,3890.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
275,a,a,190.0,9.0,2011.0,1,40.0,2012.0,"Feb,May,Aug,Nov"
276,d,a,510.0,7.0,2003.0,1,35.0,2012.0,"Mar,Jun,Sept,Dec"
277,a,a,1200.0,11.0,2006.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
278,c,a,300.0,5.0,2012.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
279,d,c,3290.0,12.0,2014.0,1,23.0,2015.0,"Mar,Jun,Sept,Dec"
280,d,c,3840.0,10.0,2008.0,1,39.0,2010.0,"Feb,May,Aug,Nov"
281,c,c,3290.0,1.0,2007.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
282,c,a,940.0,4.0,2004.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
283,d,c,8250.0,10.0,2004.0,1,10.0,2013.0,"Mar,Jun,Sept,Dec"
284,d,c,1860.0,5.0,2015.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
285,d,a,2380.0,3.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
286,a,a,300.0,7.0,2000.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
