,sepal length,sepal width,petal length,petal width,target
81,5.7,2.7,1.1,0.1,Iris-versicolor
82,6.2,3.5,1.8,0.3,Iris-setosa
83,5.0,2.1,4.2,1.1,Iris-versicolor
84,4.4,4.1,1.4,1.6,Iris-virginica
85,5.8,3.8,1.0,1.2,Iris-setosa
86,4.4,3.1,5.4,1.6,Iris-setosa
87,6.2,2.5,5.2,1.7,Iris-virginica
88,6.2,4.2,5.8,0.8,Iris-setosa
89,6.6,3.5,1.2,1.3,Iris-virginica
90,4.7,3.4,1.5,0.5,Iris-setosa
91,7.9,4.2,1.4,1.6,Iris-virginica
92,5.3,3.3,3.2,1.1,Iris-setosa
93,5.7,3.6,6.8,0.7,Iris-setosa
94,5.4,2.4,5.8,1.6,Iris-setosa
95,6.0,2.5,3.3,1.5,Iris-setosa
96,4.7,3.7,1.9,1.3,Iris-versicolor
97,5.8,2.2,4.5,1.5,Iris-versicolor
98,6.2,3.1,4.2,0.2,Iris-virginica
99,5.1,4.2,1.8,1.9,Iris-virginica
100,5.5,4.2,5.7,1.4,Iris-virginica
101,7.0,3.4,4.9,1.1,Iris-virginica
102,4.8,3.2,1.6,0.2,Iris-setosa
103,5.4,2.5,3.4,1.5,Iris-virginica
104,4.7,2.4,6.8,1.3,Iris-virginica
105,6.5,3.9,4.6,0.6,Iris-versicolor
106,5.5,3.9,6.1,1.2,Iris-versicolor
107,5.8,3.1,2.6,0.9,Iris-versicolor
108,5.0,3.8,3.2,0.3,Iris-versicolor
109,5.4,2.4,3.4,0.5,Iris-setosa
110,5.4,3.9,4.3,1.6,Iris-virginica
111,5.7,3.5,6.1,0.6,Iris-virginica
112,5.7,4.2,1.3,1.4,Iris-versicolor
113,6.5,3.7,1.1,0.4,Iris-virginica
114,5.0,3.4,1.9,0.6,Iris-versicolor
115,5.4,3.9,4.9,0.5,Iris-virginica
116,4.8,4.2,1.4,1.9,Iris-virginica
117,5.7,3.5,4.5,1.7,Iris-virginica
118,5.7,3.6,4.7,1.7,Iris-versicolor
119,7.1,4.1,1.8,1.9,Iris-virginica
120,5.8,3.4,6.9,1.1,Iris-virginica
121,7.8,3.7,1.9,1.1,Iris-virginica
122,5.7,3.8,1.3,2.0,Iris-versicolor
123,4.7,2.4,1.2,1.1,Iris-virginica
124,7.5,4.2,4.9,1.4,Iris-virginica
125,5.4,3.6,1.7,0.7,Iris-virginica
126,5.4,2.4,3.2,1.0,Iris-setosa
127,6.2,4.2,4.2,2.2,Iris-virginica
128,6.5,3.1,4.7,0.2,Iris-setosa
129,6.8,3.3,4.0,0.7,Iris-setosa
130,4.4,3.5,1.3,1.6,Iris-setosa
131,6.8,2.1,3.2,1.3,Iris-virginica
132,6.3,3.9,3.2,1.5,Iris-versicolor
133,5.0,3.2,4.2,0.5,Iris-setosa
134,5.4,3.1,1.9,1.6,Iris-setosa
135,6.0,3.7,5.7,0.7,Iris-versicolor
136,5.1,3.8,5.3,1.9,Iris-versicolor
137,6.0,3.0,6.2,0.2,Iris-setosa
138,6.2,3.2,1.8,1.9,Iris-setosa
139,4.8,3.6,6.8,1.8,Iris-setosa
140,6.0,2.8,1.0,0.4,Iris-setosa
141,5.4,2.5,5.3,0.5,Iris-setosa
142,6.8,3.9,3.0,0.8,Iris-versicolor
143,5.4,4.2,1.9,1.1,Iris-versicolor
144,5.7,3.3,3.6,1.8,Iris-versicolor
145,6.1,3.2,4.9,0.3,Iris-versicolor
146,6.3,2.7,4.3,1.5,Iris-setosa
147,6.8,2.7,1.3,0.8,Iris-virginica
148,4.5,3.2,2.5,1.0,Iris-virginica
149,6.4,3.3,1.5,1.4,Iris-setosa
