,sepal length,sepal width,petal length,petal width,target
43,6.1,2.8,4.5,1.3,Iris-versicolor
44,6.8,3.0,5.1,2.0,Iris-virginica
45,5.1,2.9,3.5,1.2,Iris-versicolor
46,5.4,3.7,1.5,0.3,Iris-setosa
47,7.2,2.8,6.1,1.8,Iris-virginica
48,6.3,2.8,4.8,1.6,Iris-virginica
49,5.7,2.3,4.0,1.3,Iris-versicolor
50,5.8,2.7,4.7,1.4,Iris-versicolor
51,6.7,3.0,5.5,2.4,Iris-virginica
52,5.6,3.4,1.5,0.3,Iris-setosa
53,5.0,3.0,1.5,0.2,Iris-setosa
54,7.7,3.0,6.3,2.3,Iris-virginica
55,7.2,3.0,4.5,1.3,Iris-versicolor
56,5.0,3.0,1.3,0.3,Iris-setosa
57,5.8,2.9,4.7,1.8,Iris-virginica
58,7.3,3.0,6.3,1.5,Iris-versicolor
59,4.9,2.5,3.6,1.5,Iris-versicolor
60,6.8,3.0,5.9,2.0,Iris-virginica
61,5.0,3.0,4.0,1.0,Iris-versicolor
62,5.1,3.3,1.6,0.2,Iris-setosa
63,5.7,3.2,5.0,2.1,Iris-virginica
64,5.0,3.0,1.3,0.4,Iris-setosa
65,6.7,2.7,5.5,1.4,Iris-versicolor
66,5.1,3.4,1.7,0.3,Iris-setosa
67,6.0,2.6,4.5,1.5,Iris-versicolor
68,5.5,2.7,4.9,1.3,Iris-versicolor
69,6.9,2.9,5.1,1.8,Iris-virginica
70,5.6,3.6,1.4,0.3,Iris-setosa
71,5.0,3.2,1.4,0.2,Iris-setosa
72,4.8,3.0,1.4,0.2,Iris-setosa
73,5.0,3.2,1.6,0.2,Iris-setosa
74,4.6,3.0,1.4,0.2,Iris-setosa
75,5.4,2.0,3.0,1.2,Iris-versicolor
76,5.1,3.1,1.5,0.2,Iris-setosa
77,6.9,3.1,5.6,2.4,Iris-virginica
78,5.7,3.0,4.4,1.4,Iris-versicolor
79,6.2,2.8,4.5,1.5,Iris-setosa
80,5.7,2.9,4.5,1.5,Iris-versicolor
81,5.7,3.1,1.4,0.2,Iris-setosa
82,4.7,3.4,1.3,0.2,Iris-setosa
83,5.6,2.7,3.8,1.2,Iris-versicolor
84,5.1,3.5,1.5,0.2,Iris-setosa
85,5.7,3.1,4.5,1.3,Iris-versicolor
86,5.0,3.4,1.7,0.2,Iris-setosa
87,5.5,3.0,1.5,0.2,Iris-setosa
88,5.0,3.2,1.4,0.2,Iris-setosa
89,6.7,3.1,4.8,1.5,Iris-versicolor
90,5.0,3.6,1.5,0.2,Iris-setosa
91,5.1,3.8,1.5,0.4,Iris-setosa
92,6.3,2.7,5.1,2.0,Iris-virginica
93,6.3,2.8,5.1,1.8,Iris-virginica
94,4.9,3.1,1.5,0.2,Iris-setosa
95,6.3,3.1,5.6,2.3,Iris-virginica
96,6.5,3.2,5.5,2.3,Iris-virginica
97,4.7,3.0,1.6,0.2,Iris-setosa
98,6.3,2.8,5.2,1.9,Iris-virginica
99,6.3,2.8,4.6,1.4,Iris-versicolor
100,5.2,3.5,1.4,0.2,Iris-setosa
101,5.1,3.4,1.5,0.2,Iris-setosa
102,5.0,3.4,1.6,0.2,Iris-setosa
103,5.7,2.5,5.1,1.9,Iris-virginica
104,5.9,2.7,5.1,1.9,Iris-virginica
105,6.7,3.0,5.7,1.8,Iris-virginica
106,5.9,3.3,6.3,1.8,Iris-virginica
107,6.4,2.8,5.9,2.0,Iris-virginica
108,5.5,2.5,4.1,1.3,Iris-versicolor
109,5.4,3.5,1.7,0.2,Iris-setosa
110,6.3,3.2,5.0,2.4,Iris-virginica
111,4.4,3.0,1.5,0.2,Iris-setosa
112,4.7,3.2,1.3,0.2,Iris-setosa
113,6.7,3.2,5.7,2.0,Iris-virginica
114,5.6,2.9,4.3,1.3,Iris-versicolor
115,6.4,2.6,5.6,1.8,Iris-virginica
116,4.6,3.7,1.5,0.3,Iris-setosa
117,6.3,3.2,5.1,2.3,Iris-virginica
118,7.2,3.0,6.2,1.8,Iris-virginica
119,6.3,3.2,5.8,2.1,Iris-virginica
120,5.0,3.4,1.4,0.4,Iris-setosa
121,4.9,3.4,1.7,0.2,Iris-setosa
122,6.4,3.0,5.8,2.4,Iris-virginica
123,5.6,2.8,4.5,1.2,Iris-versicolor
124,5.9,3.1,5.1,1.8,Iris-virginica
125,6.5,2.2,3.5,1.0,Iris-versicolor
126,6.4,3.0,4.8,1.8,Iris-virginica
127,5.0,2.3,4.1,1.3,Iris-versicolor
128,6.9,3.4,5.4,2.3,Iris-virginica
129,6.3,3.0,4.9,1.8,Iris-virginica
130,6.5,2.9,4.6,1.3,Iris-versicolor
131,5.6,2.8,4.4,1.3,Iris-versicolor
132,6.1,3.0,5.1,2.3,Iris-virginica
133,5.5,2.7,4.1,1.3,Iris-versicolor
134,5.7,2.9,4.1,1.2,Iris-versicolor
135,6.2,3.2,5.0,1.3,Iris-versicolor
136,4.4,3.3,1.6,0.2,Iris-setosa
137,5.4,3.0,1.5,0.2,Iris-setosa
138,5.8,2.7,4.6,1.3,Iris-versicolor
139,6.3,3.3,4.3,1.3,Iris-versicolor
140,5.6,2.8,4.1,1.6,Iris-virginica
141,6.4,2.8,5.5,1.8,Iris-virginica
142,4.7,3.4,1.6,0.2,Iris-setosa
143,5.6,2.0,4.8,1.5,Iris-versicolor
144,6.3,2.7,5.2,2.0,Iris-virginica
145,6.0,2.3,4.8,1.8,Iris-virginica
146,5.4,3.4,1.4,0.2,Iris-setosa
147,5.4,3.5,1.6,0.4,Iris-setosa
148,5.0,3.4,1.6,0.2,Iris-setosa
149,7.9,3.0,6.1,2.3,Iris-virginica
