,Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
77,646.0,2.0,2015-07-04,466.0,449.0,1.0,0.0,0,0.0
78,689.0,7.0,2015-07-27,0.0,729.0,1.0,0.0,0,0.0
79,819.0,4.0,2015-07-23,10457.0,0.0,1.0,0.0,0,0.0
80,962.0,5.0,2015-07-18,5203.0,615.0,1.0,1.0,0,0.0
81,603.0,6.0,2015-06-07,909.0,0.0,1.0,1.0,0,1.0
82,1061.0,5.0,2015-06-11,8961.0,614.0,1.0,0.0,0,0.0
83,714.0,5.0,2015-07-25,0.0,0.0,1.0,1.0,0,0.0
84,686.0,1.0,2015-06-08,3906.0,959.0,1.0,1.0,0,0.0
85,968.0,4.0,2015-06-28,3662.0,798.0,1.0,0.0,0,1.0
86,594.0,4.0,2015-06-08,8063.0,0.0,1.0,0.0,0,1.0
87,887.0,2.0,2015-06-20,5782.0,688.0,1.0,1.0,0,0.0
88,1038.0,4.0,2015-07-11,6952.0,569.0,1.0,1.0,0,0.0
89,588.0,6.0,2015-07-15,4786.0,928.0,1.0,1.0,0,0.0
90,719.0,1.0,2015-06-17,0.0,0.0,1.0,1.0,0,0.0
91,533.0,4.0,2015-07-19,5757.0,996.0,1.0,0.0,0,0.0
92,651.0,5.0,2015-06-23,5243.0,706.0,1.0,1.0,0,0.0
93,905.0,4.0,2015-07-18,476.0,559.0,1.0,0.0,0,1.0
94,1071.0,3.0,2015-07-28,7118.0,0.0,1.0,1.0,0,0.0
95,971.0,2.0,2015-06-08,5862.0,612.0,1.0,0.0,0,1.0
96,566.0,5.0,2015-07-14,5109.0,0.0,1.0,0.0,0,0.0
97,854.0,6.0,2015-07-29,5961.0,449.0,1.0,1.0,0,1.0
98,798.0,6.0,2015-07-13,6891.0,855.0,1.0,0.0,0,0.0
99,913.0,7.0,2015-06-29,0.0,1063.0,1.0,0.0,0,1.0
100,1035.0,6.0,2015-06-16,6076.0,689.0,1.0,0.0,0,0.0
101,566.0,3.0,2015-06-14,7654.0,712.0,1.0,0.0,0,0.0
102,795.0,6.0,2015-07-13,0.0,762.0,1.0,0.0,0,0.0
103,947.0,1.0,2015-07-27,0.0,763.0,1.0,0.0,0,0.0
104,874.0,4.0,2015-06-15,6667.0,784.0,1.0,0.0,0,1.0
105,914.0,3.0,2015-06-23,0.0,784.0,1.0,1.0,0,1.0
106,532.0,1.0,2015-06-06,7963.0,0.0,0.0,0.0,0,0.0
107,734.0,3.0,2015-07-07,7753.0,574.0,1.0,1.0,0,0.0
108,758.0,1.0,2015-06-12,1149.0,609.0,1.0,0.0,0,0.0
109,564.0,5.0,2015-07-31,4390.0,898.0,1.0,0.0,0,0.0
110,1087.0,7.0,2015-07-05,8257.0,1033.0,1.0,0.0,0,1.0
111,454.0,4.0,2015-07-20,0.0,1033.0,1.0,0.0,0,0.0
112,1075.0,7.0,2015-06-25,0.0,1019.0,1.0,0.0,0,0.0
113,10.0,7.0,2015-07-08,4957.0,4634.0,0.0,1.0,0,1.0
114,903.0,6.0,2015-07-07,0.0,579.0,1.0,1.0,0,1.0
115,755.0,7.0,2015-06-09,1125.0,4330.0,1.0,1.0,0,0.0
116,1023.0,7.0,2015-07-29,6288.0,714.0,1.0,0.0,0,0.0
117,668.0,6.0,2015-07-03,0.0,639.0,1.0,0.0,0,0.0
118,762.0,4.0,2015-06-26,7659.0,446.0,1.0,0.0,0,0.0
119,541.0,7.0,2015-06-16,8011.0,0.0,1.0,0.0,0,0.0
120,98.0,2.0,2015-06-17,0.0,609.0,1.0,0.0,0,0.0
121,1057.0,6.0,2015-06-18,7093.0,0.0,1.0,0.0,0,0.0
122,1041.0,3.0,2015-07-02,6073.0,795.0,1.0,0.0,0,0.0
123,886.0,2.0,2015-07-16,5653.0,0.0,1.0,0.0,0,0.0
124,814.0,7.0,2015-06-29,0.0,0.0,1.0,1.0,0,0.0
125,603.0,5.0,2015-06-15,4391.0,1561.0,1.0,0.0,0,0.0
126,687.0,1.0,2015-06-05,0.0,2617.0,1.0,0.0,0,0.0
127,590.0,5.0,2015-07-18,9608.0,2121.0,1.0,0.0,0,1.0
128,605.0,6.0,2015-07-20,0.0,658.0,1.0,0.0,0,0.0
129,1105.0,7.0,2015-07-15,9335.0,918.0,0.0,0.0,0,0.0
130,663.0,1.0,2015-06-23,16005.0,4729.0,1.0,0.0,0,0.0
131,665.0,1.0,2015-07-10,9064.0,649.0,1.0,0.0,0,0.0
132,636.0,4.0,2015-06-20,0.0,0.0,1.0,0.0,0,0.0
133,663.0,7.0,2015-07-23,40472.0,763.0,1.0,0.0,0,0.0
134,876.0,5.0,2015-06-29,9120.0,714.0,1.0,1.0,0,0.0
135,644.0,6.0,2015-07-20,0.0,710.0,1.0,0.0,0,0.0
136,538.0,2.0,2015-06-04,4894.0,639.0,1.0,0.0,0,1.0
137,643.0,7.0,2015-07-02,5782.0,546.0,1.0,0.0,0,1.0
138,1090.0,5.0,2015-07-30,6068.0,779.0,0.0,1.0,0,0.0
139,466.0,5.0,2015-07-30,5491.0,0.0,1.0,0.0,0,0.0
140,849.0,7.0,2015-06-22,5996.0,0.0,1.0,0.0,0,0.0
141,1067.0,3.0,2015-07-02,10243.0,889.0,1.0,0.0,0,1.0
142,754.0,5.0,2015-07-06,4661.0,527.0,1.0,1.0,0,1.0
143,567.0,4.0,2015-06-15,8835.0,0.0,1.0,0.0,0,0.0
144,1079.0,6.0,2015-07-02,5031.0,0.0,1.0,1.0,0,0.0
145,779.0,6.0,2015-07-12,4490.0,579.0,1.0,1.0,0,0.0
146,810.0,3.0,2015-06-11,7452.0,682.0,0.0,0.0,0,0.0
147,946.0,1.0,2015-06-06,7636.0,471.0,1.0,1.0,0,0.0
148,588.0,6.0,2015-07-31,9202.0,2626.0,1.0,0.0,0,0.0
149,1066.0,3.0,2015-06-30,0.0,4312.0,0.0,0.0,0,0.0
150,543.0,2.0,2015-07-25,3473.0,605.0,1.0,1.0,0,1.0
151,1061.0,3.0,2015-06-17,11494.0,0.0,1.0,0.0,0,0.0
152,1038.0,5.0,2015-06-22,0.0,577.0,1.0,0.0,0,0.0
153,581.0,6.0,2015-06-30,6671.0,689.0,1.0,0.0,0,0.0
154,1081.0,5.0,2015-06-21,4955.0,652.0,1.0,0.0,0,0.0
155,591.0,1.0,2015-06-17,872.0,0.0,1.0,0.0,0,0.0
156,1078.0,2.0,2015-07-11,0.0,1669.0,1.0,1.0,0,0.0
157,657.0,4.0,2015-06-09,588.0,1132.0,1.0,1.0,0,1.0
158,847.0,6.0,2015-07-26,4759.0,705.0,1.0,1.0,0,0.0
159,982.0,4.0,2015-07-07,9391.0,507.0,1.0,0.0,0,0.0
160,569.0,7.0,2015-06-18,6500.0,827.0,1.0,1.0,0,0.0
161,934.0,2.0,2015-06-27,0.0,4514.0,1.0,0.0,0,1.0
162,463.0,6.0,2015-06-08,0.0,1086.0,1.0,0.0,0,1.0
163,712.0,2.0,2015-06-13,7149.0,788.0,1.0,0.0,0,0.0
164,778.0,2.0,2015-07-17,5814.0,1022.0,1.0,0.0,0,1.0
165,576.0,5.0,2015-07-01,0.0,507.0,1.0,1.0,0,0.0
166,1033.0,2.0,2015-06-17,6884.0,576.0,1.0,0.0,0,1.0
167,547.0,2.0,2015-06-11,0.0,653.0,1.0,1.0,0,0.0
168,982.0,5.0,2015-07-16,6455.0,833.0,1.0,0.0,0,0.0
169,1034.0,1.0,2015-06-08,909.0,498.0,1.0,0.0,0,0.0
170,566.0,7.0,2015-07-29,0.0,522.0,1.0,0.0,0,1.0
171,839.0,1.0,2015-06-26,7983.0,669.0,1.0,0.0,0,0.0
172,689.0,2.0,2015-06-27,0.0,0.0,1.0,1.0,0,0.0
173,815.0,1.0,2015-06-19,5581.0,764.0,0.0,0.0,0,1.0
174,1034.0,5.0,2015-07-17,6996.0,726.0,1.0,0.0,0,0.0
175,1058.0,7.0,2015-06-21,6607.0,673.0,1.0,0.0,0,0.0
176,8.0,6.0,2015-06-05,6056.0,1051.0,1.0,0.0,0,0.0
177,636.0,7.0,2015-07-30,0.0,0.0,1.0,1.0,0,0.0
178,879.0,3.0,2015-06-11,7091.0,686.0,1.0,0.0,0,0.0
179,578.0,4.0,2015-06-09,514.0,0.0,1.0,0.0,0,0.0
180,591.0,1.0,2015-07-08,0.0,878.0,1.0,1.0,0,0.0
181,578.0,6.0,2015-07-17,7388.0,0.0,1.0,0.0,0,0.0
182,1016.0,1.0,2015-07-28,9253.0,706.0,1.0,0.0,0,0.0
183,903.0,5.0,2015-06-11,0.0,459.0,1.0,0.0,0,1.0
184,776.0,6.0,2015-06-08,0.0,0.0,1.0,0.0,0,0.0
185,559.0,3.0,2015-07-01,798.0,0.0,1.0,1.0,0,0.0
186,653.0,6.0,2015-07-31,8097.0,977.0,1.0,0.0,0,0.0
187,1058.0,4.0,2015-06-26,6092.0,1498.0,1.0,0.0,0,0.0
188,575.0,2.0,2015-07-10,6105.0,566.0,1.0,1.0,0,0.0
189,932.0,3.0,2015-06-14,498.0,528.0,1.0,1.0,0,1.0
190,987.0,1.0,2015-07-18,3640.0,1574.0,1.0,0.0,0,0.0
191,1089.0,4.0,2015-07-04,6599.0,898.0,1.0,1.0,0,1.0
192,903.0,6.0,2015-07-17,5163.0,587.0,0.0,0.0,0,0.0
193,559.0,7.0,2015-06-28,5691.0,496.0,1.0,0.0,0,0.0
194,881.0,5.0,2015-07-02,4960.0,596.0,1.0,1.0,0,0.0
195,824.0,2.0,2015-07-25,8667.0,686.0,1.0,0.0,0,0.0
196,919.0,3.0,2015-06-27,0.0,869.0,0.0,0.0,0,1.0
197,694.0,5.0,2015-06-20,6164.0,543.0,0.0,0.0,0,0.0
198,653.0,6.0,2015-07-21,0.0,591.0,1.0,0.0,0,0.0
199,568.0,7.0,2015-07-02,0.0,0.0,1.0,0.0,0,1.0
200,730.0,3.0,2015-06-14,0.0,0.0,1.0,0.0,0,0.0
201,993.0,5.0,2015-06-19,0.0,3851.0,1.0,0.0,0,1.0
202,1087.0,1.0,2015-06-30,0.0,4067.0,1.0,0.0,0,1.0
203,827.0,7.0,2015-07-29,468.0,0.0,1.0,0.0,0,0.0
204,848.0,4.0,2015-06-14,1181.0,438.0,1.0,0.0,0,0.0
205,942.0,7.0,2015-06-30,0.0,3288.0,1.0,0.0,0,0.0
206,981.0,1.0,2015-06-13,761.0,0.0,1.0,1.0,0,1.0
207,585.0,3.0,2015-07-30,5653.0,0.0,1.0,0.0,0,0.0
208,1083.0,4.0,2015-06-17,1472.0,0.0,1.0,0.0,0,0.0
209,812.0,4.0,2015-06-27,886.0,576.0,1.0,0.0,0,0.0
210,976.0,7.0,2015-07-14,0.0,675.0,1.0,0.0,0,0.0
211,832.0,6.0,2015-07-19,6346.0,714.0,1.0,0.0,0,0.0
212,869.0,5.0,2015-07-31,6707.0,786.0,1.0,0.0,0,0.0
213,715.0,4.0,2015-06-10,5708.0,706.0,1.0,0.0,0,1.0
214,855.0,4.0,2015-06-06,0.0,623.0,1.0,0.0,0,0.0
215,977.0,2.0,2015-06-28,0.0,0.0,0.0,0.0,0,1.0
216,753.0,6.0,2015-06-03,0.0,595.0,1.0,0.0,0,0.0
217,1051.0,7.0,2015-07-15,603.0,0.0,1.0,0.0,0,0.0
218,571.0,7.0,2015-07-21,905.0,691.0,1.0,0.0,0,0.0
219,542.0,2.0,2015-06-27,7011.0,0.0,1.0,0.0,0,0.0
220,683.0,6.0,2015-07-12,5962.0,852.0,1.0,0.0,0,1.0
221,646.0,2.0,2015-07-28,8069.0,0.0,1.0,0.0,0,0.0
222,1003.0,3.0,2015-06-18,5785.0,565.0,1.0,0.0,0,0.0
223,468.0,1.0,2015-06-01,6570.0,0.0,1.0,0.0,0,1.0
224,532.0,4.0,2015-07-14,0.0,0.0,1.0,1.0,0,0.0
225,949.0,2.0,2015-07-30,0.0,0.0,1.0,0.0,0,0.0
226,1013.0,2.0,2015-06-09,4962.0,926.0,1.0,1.0,0,0.0
227,1007.0,7.0,2015-07-04,5753.0,506.0,1.0,1.0,0,0.0
228,528.0,7.0,2015-06-25,14094.0,0.0,1.0,0.0,0,0.0
229,651.0,2.0,2015-06-25,5753.0,528.0,1.0,0.0,0,1.0
230,973.0,5.0,2015-07-07,0.0,766.0,0.0,1.0,0,0.0
231,783.0,5.0,2015-07-23,7961.0,523.0,1.0,0.0,0,1.0
232,682.0,6.0,2015-06-01,0.0,0.0,1.0,1.0,0,0.0
233,868.0,6.0,2015-07-16,7563.0,0.0,0.0,0.0,0,0.0
234,576.0,7.0,2015-06-24,4462.0,528.0,1.0,0.0,0,1.0
235,787.0,4.0,2015-06-12,7453.0,752.0,1.0,0.0,0,1.0
236,559.0,6.0,2015-07-19,6863.0,611.0,1.0,0.0,0,0.0
237,942.0,1.0,2015-06-23,0.0,0.0,1.0,0.0,0,0.0
238,50.0,2.0,2015-06-23,0.0,0.0,1.0,0.0,0,0.0
239,928.0,3.0,2015-06-27,5034.0,803.0,1.0,1.0,0,1.0
240,996.0,5.0,2015-06-03,0.0,714.0,1.0,0.0,0,0.0
241,723.0,5.0,2015-06-30,972.0,464.0,1.0,0.0,0,0.0
242,478.0,2.0,2015-06-23,5961.0,487.0,0.0,1.0,0,0.0
243,496.0,5.0,2015-06-29,8054.0,0.0,1.0,0.0,0,1.0
244,576.0,4.0,2015-06-16,4931.0,714.0,1.0,0.0,0,0.0
245,645.0,4.0,2015-06-02,568.0,582.0,1.0,0.0,0,0.0
246,889.0,4.0,2015-07-13,0.0,0.0,1.0,0.0,0,0.0
247,756.0,3.0,2015-07-18,40653.0,577.0,1.0,0.0,0,0.0
248,679.0,6.0,2015-06-10,6366.0,569.0,1.0,0.0,0,0.0
249,805.0,4.0,2015-06-25,0.0,728.0,1.0,0.0,0,1.0
250,614.0,7.0,2015-06-27,7761.0,449.0,1.0,1.0,0,0.0
251,727.0,6.0,2015-06-05,7093.0,0.0,1.0,0.0,0,0.0
252,946.0,7.0,2015-07-16,0.0,661.0,1.0,1.0,0,0.0
253,564.0,6.0,2015-07-22,5241.0,481.0,1.0,0.0,0,0.0
254,603.0,5.0,2015-06-20,564.0,0.0,1.0,0.0,0,1.0
255,821.0,6.0,2015-07-17,0.0,612.0,1.0,0.0,0,0.0
256,618.0,4.0,2015-07-19,8983.0,857.0,1.0,0.0,0,1.0
257,745.0,4.0,2015-07-08,5077.0,684.0,1.0,0.0,0,0.0
258,477.0,1.0,2015-07-14,889.0,662.0,1.0,0.0,0,0.0
259,1084.0,5.0,2015-06-08,0.0,0.0,1.0,0.0,0,0.0
260,605.0,4.0,2015-07-27,5093.0,589.0,1.0,0.0,0,1.0
261,626.0,4.0,2015-06-27,0.0,449.0,1.0,1.0,0,0.0
262,0.0,2.0,2015-06-06,1168.0,805.0,1.0,0.0,0,0.0
263,531.0,5.0,2015-07-21,6366.0,773.0,1.0,0.0,0,0.0
264,935.0,1.0,2015-07-03,6341.0,3253.0,1.0,0.0,0,0.0
265,815.0,4.0,2015-06-03,6241.0,695.0,1.0,0.0,0,0.0
266,862.0,5.0,2015-06-15,8131.0,576.0,1.0,0.0,0,0.0
267,645.0,5.0,2015-07-03,7122.0,473.0,1.0,0.0,0,1.0
268,596.0,1.0,2015-06-28,10700.0,0.0,1.0,0.0,0,0.0
269,569.0,2.0,2015-07-18,6346.0,3383.0,1.0,0.0,0,0.0
270,1003.0,5.0,2015-07-13,4829.0,537.0,1.0,0.0,0,0.0
271,681.0,6.0,2015-07-30,8177.0,682.0,1.0,0.0,0,0.0
272,923.0,4.0,2015-07-18,5138.0,0.0,1.0,0.0,0,0.0
273,856.0,2.0,2015-07-29,4983.0,642.0,1.0,1.0,0,0.0
274,554.0,7.0,2015-06-08,7785.0,584.0,1.0,0.0,0,1.0
275,819.0,1.0,2015-06-16,3453.0,726.0,1.0,0.0,0,1.0
276,668.0,2.0,2015-06-17,6653.0,1276.0,1.0,0.0,0,1.0
277,941.0,5.0,2015-06-09,0.0,782.0,1.0,0.0,0,0.0
278,817.0,6.0,2015-06-18,12596.0,0.0,1.0,1.0,0,1.0
279,976.0,3.0,2015-07-29,10592.0,659.0,1.0,1.0,0,0.0
280,539.0,4.0,2015-07-05,907.0,0.0,0.0,0.0,0,0.0
281,564.0,5.0,2015-07-17,0.0,437.0,1.0,0.0,0,0.0
282,554.0,6.0,2015-07-23,0.0,0.0,1.0,0.0,0,0.0
283,57.0,2.0,2015-07-01,10.0,664.0,1.0,1.0,0,0.0
284,1040.0,5.0,2015-06-01,5022.0,461.0,1.0,0.0,0,1.0
285,700.0,4.0,2015-06-16,6092.0,0.0,1.0,0.0,0,0.0
286,649.0,5.0,2015-06-01,6443.0,991.0,1.0,0.0,0,0.0
287,484.0,5.0,2015-07-23,4271.0,534.0,1.0,0.0,0,0.0
288,507.0,5.0,2015-06-07,1006.0,467.0,1.0,1.0,0,0.0
289,639.0,5.0,2015-06-05,706.0,868.0,1.0,0.0,0,0.0
290,843.0,6.0,2015-06-19,7073.0,590.0,1.0,1.0,0,1.0
291,930.0,5.0,2015-07-11,483.0,0.0,1.0,0.0,0,0.0
292,1102.0,1.0,2015-06-28,0.0,0.0,1.0,1.0,0,0.0
293,557.0,3.0,2015-06-04,0.0,769.0,0.0,1.0,0,0.0
294,462.0,7.0,2015-06-18,6054.0,636.0,1.0,0.0,0,0.0
295,523.0,3.0,2015-06-06,5918.0,1242.0,0.0,0.0,0,0.0
296,793.0,5.0,2015-06-06,6671.0,853.0,1.0,1.0,0,0.0
297,1.0,1.0,2015-07-14,7120.0,0.0,1.0,1.0,0,0.0
298,932.0,4.0,2015-06-08,3687.0,596.0,1.0,0.0,0,0.0
299,814.0,3.0,2015-07-27,6667.0,0.0,1.0,1.0,0,0.0
300,833.0,6.0,2015-07-09,7589.0,3710.0,1.0,0.0,0,0.0
301,786.0,2.0,2015-06-26,5969.0,821.0,1.0,1.0,0,0.0
302,471.0,1.0,2015-06-23,7094.0,816.0,1.0,0.0,0,0.0
303,761.0,1.0,2015-06-05,0.0,787.0,1.0,0.0,0,0.0
304,782.0,2.0,2015-06-13,0.0,1021.0,1.0,0.0,0,0.0
305,562.0,5.0,2015-06-08,5366.0,0.0,1.0,1.0,0,0.0
306,1102.0,5.0,2015-06-20,468.0,528.0,1.0,0.0,0,1.0
307,926.0,7.0,2015-07-04,9079.0,1710.0,1.0,0.0,0,0.0
308,695.0,2.0,2015-06-02,0.0,0.0,1.0,1.0,0,0.0
309,801.0,6.0,2015-06-22,0.0,576.0,1.0,0.0,0,0.0
310,546.0,6.0,2015-06-10,6346.0,882.0,1.0,0.0,0,0.0
311,991.0,5.0,2015-07-05,6034.0,0.0,1.0,0.0,0,0.0
312,642.0,4.0,2015-07-18,9093.0,0.0,0.0,1.0,0,0.0
313,112.0,4.0,2015-07-16,6672.0,786.0,1.0,0.0,0,0.0
314,1057.0,5.0,2015-06-21,5347.0,715.0,1.0,0.0,0,0.0
315,817.0,6.0,2015-06-16,6346.0,592.0,1.0,0.0,0,0.0
316,1042.0,3.0,2015-06-25,604.0,763.0,1.0,0.0,0,0.0
317,807.0,2.0,2015-07-16,5653.0,1139.0,1.0,1.0,0,0.0
318,957.0,5.0,2015-07-29,6952.0,0.0,1.0,0.0,0,1.0
319,523.0,4.0,2015-06-05,0.0,912.0,1.0,1.0,0,0.0
320,938.0,4.0,2015-06-01,6653.0,668.0,1.0,0.0,0,0.0
321,679.0,5.0,2015-07-09,539.0,789.0,1.0,0.0,0,0.0
322,745.0,1.0,2015-06-15,5134.0,0.0,1.0,0.0,0,1.0
323,1039.0,4.0,2015-06-23,0.0,1459.0,1.0,1.0,0,0.0
324,842.0,5.0,2015-06-24,8202.0,694.0,0.0,0.0,0,0.0
325,679.0,6.0,2015-06-24,6078.0,0.0,1.0,0.0,0,0.0
326,959.0,6.0,2015-07-31,1075.0,837.0,1.0,1.0,0,1.0
327,906.0,5.0,2015-06-09,0.0,710.0,1.0,0.0,0,0.0
328,573.0,1.0,2015-07-31,488.0,729.0,1.0,1.0,0,0.0
329,1038.0,5.0,2015-06-23,0.0,0.0,1.0,0.0,0,0.0
330,839.0,4.0,2015-07-31,0.0,749.0,1.0,0.0,0,0.0
331,710.0,3.0,2015-07-12,0.0,774.0,1.0,0.0,0,0.0
332,876.0,3.0,2015-06-01,10124.0,0.0,1.0,1.0,0,0.0
333,766.0,6.0,2015-07-06,0.0,636.0,1.0,1.0,0,1.0
334,880.0,2.0,2015-06-02,0.0,821.0,1.0,0.0,0,0.0
335,835.0,4.0,2015-06-20,6500.0,695.0,1.0,0.0,0,1.0
336,469.0,1.0,2015-07-30,907.0,1193.0,1.0,0.0,0,0.0
337,631.0,6.0,2015-07-26,381.0,590.0,1.0,1.0,0,0.0
338,930.0,3.0,2015-07-29,5020.0,614.0,1.0,0.0,0,0.0
339,890.0,4.0,2015-07-28,5648.0,756.0,1.0,0.0,0,1.0
340,485.0,7.0,2015-06-24,5483.0,1001.0,1.0,0.0,0,0.0
341,734.0,4.0,2015-07-20,39053.0,0.0,1.0,0.0,0,0.0
342,713.0,1.0,2015-07-07,507.0,0.0,1.0,0.0,0,1.0
343,987.0,4.0,2015-06-18,0.0,735.0,1.0,0.0,0,0.0
344,815.0,1.0,2015-06-13,5088.0,4656.0,1.0,0.0,0,0.0
345,593.0,7.0,2015-07-03,0.0,473.0,1.0,0.0,0,1.0
346,648.0,1.0,2015-06-21,615.0,0.0,0.0,0.0,0,0.0
347,689.0,6.0,2015-07-24,0.0,0.0,1.0,1.0,0,0.0
