,Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
214,557.0,c,a,1209.0,11.0,2008.0,1.0,25.0,2011.0,Jan
215,1000.0,c,a,,1.0,2013.0,0.0,,2014.0,Feb
216,1010.0,c,a,55051.0,,2013.0,0.0,12.0,2013.0,Jan
217,995.0,c,a,,,1987.0,,,,Jan
218,596.0,a,a,40340.97,,2013.0,0.0,23.0,2014.0,Jan
219,461.0,d,a,,9.0,2010.0,1.0,,,Mar
220,663.0,a,a,,5.0,2006.0,0.0,12.0,,Mar
221,959.0,d,c,959.0,2.0,,1.0,,2014.0,Jan
222,590.0,a,a,14651.0,2.0,2013.0,1.0,,,Jan
223,1082.0,a,a,14651.0,9.0,2006.0,1.0,6.0,2013.0,Feb
224,936.0,a,a,,,2001.0,0.0,40.0,2011.0,Feb
225,940.0,c,a,,,,0.0,14.0,,Mar
226,918.0,a,a,10679.0,,2008.0,0.0,9.0,2009.0,Jan
227,910.0,d,a,10682.0,5.0,1954.0,0.0,20.0,2014.0,Jan
228,860.0,a,c,54131.0,1.0,2009.0,1.0,14.0,,Jan
229,663.0,a,a,4238.0,9.0,,0.0,13.0,2010.0,Jan
230,910.0,d,a,70710.0,10.0,2002.0,1.0,9.0,2013.0,Mar
231,10.0,d,a,10.0,11.0,2013.0,0.0,23.0,2010.0,Jan
232,1040.0,a,a,27541.0,11.0,2005.0,1.0,,,Jan
233,590.0,a,a,52270.0,10.0,1998.0,0.0,,2013.0,Jan
234,518.0,a,a,51854.0,10.0,2004.0,0.0,12.0,2013.0,Feb
235,9.0,a,c,,8.0,2003.0,1.0,,2012.0,Jan
236,8.0,a,c,68278.0,3.0,2013.0,0.0,30.0,2012.0,Jan
237,573.0,c,a,10302.0,,2008.0,,,2010.0,Feb
238,6.0,d,a,740.0,,,0.0,,2009.0,Jan
239,990.0,d,c,709.0,,,1.0,,2011.0,Jan
240,558.0,c,a,,3.0,,0.0,,2009.0,Jan
241,581.0,a,c,,4.0,2008.0,0.0,14.0,2013.0,Mar
242,805.0,a,a,,1.0,1932.0,0.0,40.0,2014.0,Mar
243,971.0,d,a,,10.0,1962.0,1.0,40.0,,Jan
244,,c,a,14113.0,5.0,2005.0,0.0,,2011.0,Jan
245,910.0,a,a,,1.0,2011.0,0.0,30.0,2011.0,Jan
246,710.0,c,a,,3.0,2013.0,0.0,,2012.0,Jan
247,1060.0,a,a,13991.0,,,1.0,,,Feb
248,119.0,a,a,65929.0,1.0,1965.0,0.0,40.0,2011.0,Feb
249,1040.0,c,a,,9.0,,0.0,,,Jan
250,710.0,c,a,,11.0,,0.0,,,Jan
251,238.0,a,c,,6.0,2008.0,1.0,,,Jan
252,590.0,c,c,,,1938.0,0.0,,2011.0,Jan
253,255.0,c,a,,1.0,2004.0,1.0,37.0,2013.0,Mar
254,860.0,c,a,,8.0,2013.0,1.0,23.0,2013.0,Feb
255,710.0,d,c,,4.0,2007.0,,,,Jan
256,590.0,d,a,14651.0,9.0,2013.0,1.0,6.0,2011.0,Jan
257,590.0,a,a,14429.0,11.0,,0.0,37.0,2011.0,Jan
258,1089.0,a,c,9197.0,5.0,2013.0,1.0,1.0,2013.0,Jan
259,661.0,d,a,45119.0,4.0,,1.0,,2009.0,Mar
260,880.0,a,a,13153.0,4.0,,0.0,13.0,,Jan
261,552.0,d,a,10.0,8.0,2012.0,0.0,,2011.0,Jan
262,907.0,d,a,14751.0,1.0,2008.0,0.0,,2012.0,Jan
263,571.0,d,a,,10.0,2005.0,0.0,,2011.0,Feb
264,513.0,d,a,1485.0,,,0.0,,,Feb
265,997.0,c,,452.0,6.0,2012.0,0.0,12.0,2011.0,Jan
266,910.0,a,a,31970.0,9.0,2011.0,1.0,,,Mar
267,1060.0,a,c,18335.96,1.0,,0.0,,2015.0,Feb
268,573.0,d,c,60927.0,4.0,1980.0,0.0,,,Jan
269,1089.0,c,a,,9.0,2006.0,0.0,,,Jan
270,590.0,d,a,68683.0,4.0,2006.0,0.0,,,Jan
271,128.0,d,a,12.0,10.0,2001.0,1.0,40.0,2011.0,Feb
272,111.0,a,c,5682.0,10.0,2012.0,0.0,10.0,2013.0,Mar
273,1073.0,c,a,30552.0,1.0,2006.0,1.0,,2011.0,Feb
274,918.0,c,a,10609.0,10.0,2011.0,0.0,,,Mar
275,146.0,a,a,51310.0,6.0,,0.0,,2013.0,Mar
276,958.0,a,a,4569.0,8.0,2005.0,0.0,13.0,2014.0,Jan
277,910.0,c,a,,2.0,2011.0,0.0,,2013.0,Jan
278,997.0,c,c,33956.0,5.0,2009.0,1.0,,,Jan
279,710.0,a,a,46881.78,1.0,2007.0,0.0,14.0,2013.0,Jan
280,910.0,d,a,,9.0,2005.0,0.0,22.0,,Jan
281,526.0,d,a,,9.0,2013.0,1.0,,2013.0,Feb
282,769.0,a,a,40388.0,10.0,2013.0,1.0,,2013.0,Jan
283,910.0,a,a,60262.0,9.0,2013.0,0.0,,2011.0,Feb
284,1076.0,d,c,40315.97,,1954.0,0.0,,2011.0,Jan
285,483.0,c,a,,8.0,2005.0,1.0,45.0,2014.0,Feb
286,40.0,c,c,37262.0,11.0,,1.0,,2012.0,Jan
287,985.0,c,a,,,1965.0,,,,Mar
288,994.0,a,c,9646.0,11.0,,1.0,,2009.0,Jan
289,805.0,a,a,,11.0,1932.0,1.0,,,Jan
290,609.0,d,c,,6.0,2002.0,0.0,,,Jan
291,463.0,c,a,,,,0.0,13.0,,Jan
292,995.0,a,a,,9.0,,1.0,,,Jan
293,9.0,a,a,14776.0,1.0,2008.0,1.0,38.0,2010.0,Jan
294,255.0,c,c,,11.0,,0.0,,2012.0,Mar
295,831.0,c,a,,1.0,1932.0,1.0,35.0,,Jan
296,910.0,c,c,45192.0,,2011.0,0.0,,,Feb
297,910.0,a,a,53579.0,1.0,1932.0,0.0,,,Mar
298,709.0,a,a,46360.0,11.0,2003.0,0.0,37.0,,Jan
299,590.0,d,a,71054.0,10.0,1961.0,0.0,14.0,2011.0,Jan
300,570.0,c,a,40403.0,2.0,1965.0,0.0,,,Jan
301,930.0,d,a,,1.0,1930.0,0.0,,2013.0,Feb
302,805.0,a,a,,,2007.0,0.0,,2010.0,Jan
303,1010.0,d,c,,9.0,,0.0,,2009.0,Jan
304,910.0,c,a,,6.0,2013.0,0.0,,2009.0,Mar
305,989.0,d,a,,1.0,,0.0,14.0,2013.0,Mar
306,910.0,d,c,,1.0,1982.0,0.0,14.0,2009.0,Jan
307,1010.0,a,a,,1.0,2008.0,0.0,,2013.0,Jan
308,958.0,d,a,,9.0,2009.0,0.0,40.0,,Feb
309,667.0,d,a,486.0,10.0,2011.0,1.0,,,Mar
310,995.0,a,c,,9.0,,0.0,,,Jan
311,690.0,c,a,71054.0,1.0,,1.0,,2013.0,Mar
312,1065.0,a,a,14113.0,,,1.0,,,Mar
313,9.0,a,a,,5.0,,,5.0,2014.0,Jan
314,710.0,d,a,40940.0,2.0,2011.0,1.0,,,Feb
315,910.0,a,a,,1.0,2005.0,0.0,,,Mar
316,742.0,d,c,57777.0,1.0,,0.0,,2012.0,Jan
317,1061.0,d,c,14751.0,9.0,1938.0,1.0,,,Jan
318,590.0,a,c,35765.0,10.0,2011.0,1.0,17.0,2012.0,Jan
319,710.0,a,a,,7.0,,1.0,6.0,2009.0,Jan
320,876.0,a,a,,11.0,2001.0,0.0,,,Jan
321,1000.0,d,a,,5.0,1932.0,1.0,,2012.0,Feb
322,746.0,d,a,63600.0,9.0,1921.0,1.0,,2012.0,Jan
323,860.0,d,a,40557.0,9.0,2011.0,,,2013.0,Jan
324,1090.0,c,a,51854.0,4.0,2004.0,0.0,14.0,,Jan
325,930.0,d,a,,1.0,1950.0,1.0,37.0,,Jan
326,1040.0,c,a,,6.0,2008.0,0.0,14.0,2014.0,Feb
327,560.0,a,a,52036.0,6.0,2011.0,1.0,,2011.0,Jan
328,1040.0,d,a,12604.0,9.0,2002.0,1.0,,,Feb
329,910.0,a,a,64995.0,1.0,,0.0,,,Feb
330,928.0,d,a,,,2009.0,0.0,,,Jan
331,690.0,d,c,,9.0,2012.0,1.0,,,Mar
332,989.0,d,c,,11.0,2011.0,0.0,37.0,,Jan
333,567.0,c,a,61895.0,10.0,2007.0,1.0,40.0,2014.0,Jan
334,784.0,a,a,40403.0,10.0,2006.0,0.0,30.0,2009.0,Feb
335,1111.0,a,c,1217.0,5.0,2008.0,1.0,,,Mar
336,590.0,d,a,12604.0,11.0,1950.0,0.0,14.0,2013.0,Jan
337,663.0,a,c,71054.0,2.0,,0.0,12.0,,Mar
338,775.0,a,a,45530.0,1.0,,0.0,14.0,,Feb
339,10.0,a,a,68222.0,,2008.0,1.0,12.0,,Jan
340,1060.0,a,a,5682.0,9.0,2003.0,1.0,,2012.0,Mar
341,1073.0,a,a,,1.0,2007.0,,,2014.0,Jan
342,1061.0,c,a,52046.0,4.0,2003.0,1.0,45.0,2011.0,Jan
343,998.0,a,a,14651.0,11.0,,0.0,,2013.0,Jan
344,267.0,d,a,,1.0,,0.0,,2010.0,Feb
345,553.0,a,a,,1.0,2010.0,1.0,,2013.0,Jan
346,910.0,d,c,,2.0,2013.0,0.0,,2011.0,Jan
347,995.0,a,a,50966.0,9.0,1930.0,1.0,,,Jan
348,1078.0,c,c,6470.0,2.0,2001.0,0.0,,2011.0,Jan
349,10.0,c,a,,7.0,,0.0,,,Feb
350,910.0,c,a,53407.0,1.0,2009.0,0.0,37.0,,Feb
351,938.0,a,a,40705.0,4.0,2011.0,1.0,31.0,,Jan
352,581.0,a,a,2828.0,11.0,2001.0,1.0,40.0,,Mar
353,955.0,a,c,54198.69,,2011.0,0.0,22.0,2010.0,Mar
354,869.0,a,a,35147.0,1.0,1955.0,0.0,,2013.0,Mar
355,1086.0,a,a,,10.0,2009.0,0.0,,,Jan
356,770.0,c,a,,9.0,2009.0,1.0,,2011.0,Jan
357,726.0,a,c,3884.0,5.0,2001.0,0.0,,,Feb
358,951.0,c,c,9483.0,11.0,1965.0,1.0,,2014.0,Feb
359,582.0,a,a,,11.0,2001.0,0.0,,,Feb
360,590.0,c,a,10679.69,5.0,2007.0,1.0,,,Mar
361,10.0,a,a,,4.0,,1.0,,,Mar
362,590.0,c,a,,9.0,2005.0,0.0,,2011.0,Mar
363,609.0,c,a,,1.0,1982.0,0.0,,,Jan
364,567.0,c,a,14320.0,3.0,1955.0,1.0,,2010.0,Jan
365,901.0,a,a,36129.0,5.0,2008.0,0.0,,,Jan
366,906.0,a,a,40682.0,9.0,1987.0,1.0,,2011.0,Feb
367,910.0,a,c,60266.0,11.0,2011.0,1.0,,2009.0,Jan
368,910.0,a,a,14429.0,8.0,2011.0,0.0,45.0,2011.0,Jan
369,1030.0,d,a,546.0,1.0,2007.0,0.0,1.0,2012.0,Mar
370,1110.0,d,a,4341.0,4.0,2012.0,0.0,,2009.0,Jan
371,386.0,a,a,51520.0,4.0,2008.0,,,2013.0,Mar
372,1106.0,a,c,,8.0,1965.0,0.0,45.0,,Jan
373,626.0,a,a,14.0,11.0,,0.0,13.0,,Feb
374,985.0,a,c,55421.0,3.0,2015.0,1.0,,2011.0,Mar
375,626.0,a,c,51274.0,10.0,,0.0,40.0,,Jan
376,963.0,a,c,57908.0,11.0,,1.0,37.0,2009.0,Mar
377,710.0,c,a,54675.0,8.0,2005.0,1.0,,,Feb
378,1034.0,a,a,18653.0,,,1.0,45.0,,Jan
379,860.0,d,a,74072.0,3.0,2007.0,1.0,,2011.0,Jan
380,6.0,a,a,6475.0,5.0,1978.0,0.0,31.0,2011.0,Jan
381,928.0,a,a,,1.0,,0.0,,2011.0,Feb
382,925.0,a,a,1207.0,,1930.0,0.0,,,Feb
383,918.0,d,c,61142.0,6.0,1971.0,,,2011.0,Jan
384,860.0,a,a,,10.0,2008.0,0.0,13.0,,Feb
385,590.0,d,a,,5.0,,0.0,,,Jan
386,478.0,a,a,49186.0,,2011.0,1.0,,,Mar
387,728.0,d,a,,11.0,2007.0,0.0,14.0,2014.0,Feb
388,958.0,a,a,,1.0,,0.0,,2009.0,Jan
389,469.0,c,c,5961.0,9.0,2011.0,0.0,,,Feb
390,1060.0,d,a,,9.0,2014.0,1.0,,2013.0,Jan
391,1060.0,a,a,,,2013.0,0.0,,2010.0,Jan
392,506.0,a,a,1495.0,3.0,2011.0,1.0,,2009.0,Jan
393,985.0,a,a,40403.0,1.0,2005.0,0.0,17.0,,Jan
394,809.0,d,a,40403.0,9.0,2012.0,1.0,40.0,2009.0,Mar
395,984.0,a,a,,9.0,2012.0,0.0,,,Jan
396,1060.0,a,a,40340.87,1.0,2010.0,0.0,,,Mar
397,1113.0,a,c,1485.0,9.0,2005.0,0.0,,2010.0,Jan
398,710.0,d,a,1340.0,1.0,2011.0,0.0,38.0,2012.0,Jan
399,963.0,c,a,60551.0,7.0,2008.0,0.0,28.0,2011.0,Jan
400,1038.0,a,c,,6.0,1947.0,1.0,,2009.0,Mar
401,973.0,a,c,,4.0,,1.0,,2011.0,Feb
402,1020.0,c,c,65351.0,,,0.0,,,Jan
