Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,Id
83,5,2015-07-31,3866.0,327.0,1.0,1,0,1,
84,5,2015-07-31,14949.0,1439.0,1.0,1,0,1,
86,5,2015-07-31,5572.0,678.0,1.0,1,0,1,
89,5,2015-07-31,7295.0,716.0,1.0,1,0,0,
90,5,2015-07-31,11495.0,1295.0,1.0,1,0,1,
91,5,2015-07-31,6164.0,554.0,1.0,1,0,1,
93,5,2015-07-31,6548.0,715.0,1.0,1,0,1,
94,5,2015-07-31,8372.0,694.0,1.0,1,0,1,
96,5,2015-07-31,6370.0,612.0,1.0,1,0,1,
97,5,2015-07-31,8380.0,802.0,1.0,1,0,1,
98,5,2015-07-31,7012.0,512.0,1.0,1,0,1,
101,5,2015-07-31,11075.0,915.0,1.0,1,0,1,
102,5,2015-07-31,12602.0,1414.0,1.0,1,0,1,
103,5,2015-07-31,5425.0,453.0,1.0,1,0,1,
104,5,2015-07-31,10483.0,1223.0,1.0,1,0,1,
105,5,2015-07-31,6456.0,595.0,1.0,1,0,1,
106,5,2015-07-31,10845.0,958.0,1.0,1,0,1,
107,5,2015-07-31,9194.0,1021.0,1.0,1,0,1,
108,5,2015-07-31,14927.0,992.0,1.0,1,0,0,
109,5,2015-07-31,9013.0,864.0,1.0,1,0,1,
110,5,2015-07-31,6058.0,745.0,1.0,1,0,1,
113,5,2015-07-31,8453.0,735.0,1.0,1,0,0,
114,5,2015-07-31,5750.0,620.0,1.0,1,0,1,
115,5,2015-07-31,9716.0,674.0,1.0,1,0,0,
117,5,2015-07-31,4487.0,507.0,1.0,1,0,1,
119,5,2015-07-31,7038.0,684.0,1.0,1,0,1,
120,5,2015-07-31,10392.0,794.0,1.0,1,0,1,
121,5,2015-07-31,4565.0,549.0,1.0,1,0,1,
123,5,2015-07-31,10750.0,1108.0,1.0,1,0,1,
125,5,2015-07-31,18227.0,2041.0,1.0,1,0,1,
126,5,2015-07-31,8742.0,734.0,1.0,1,0,1,
127,5,2015-07-31,8560.0,848.0,1.0,1,0,0,
128,5,2015-07-31,9581.0,694.0,1.0,1,0,1,
132,5,2015-07-31,10387.0,743.0,1.0,1,0,0,
133,5,2015-07-31,8519.0,876.0,1.0,1,0,1,
134,5,2015-07-31,4872.0,501.0,1.0,1,0,1,
135,5,2015-07-31,7475.0,619.0,1.0,1,0,1,
136,5,2015-07-31,9568.0,619.0,1.0,1,0,0,
137,5,2015-07-31,9047.0,1121.0,1.0,1,0,0,
138,5,2015-07-31,10130.0,866.0,1.0,1,0,1,
141,5,2015-07-31,8689.0,813.0,1.0,1,0,1,
142,5,2015-07-31,5283.0,614.0,1.0,1,0,1,
143,5,2015-07-31,8382.0,720.0,1.0,1,0,1,
144,5,2015-07-31,8568.0,817.0,1.0,1,0,0,
145,5,2015-07-31,10893.0,1343.0,1.0,1,0,0,
146,5,2015-07-31,10130.0,784.0,1.0,1,0,1,
147,5,2015-07-31,11338.0,1007.0,1.0,1,0,1,
148,5,2015-07-31,9996.0,848.0,1.0,1,0,1,
151,5,2015-07-31,10607.0,853.0,1.0,1,0,1,
154,5,2015-07-31,10751.0,792.0,1.0,1,0,1,
155,5,2015-07-31,8658.0,765.0,1.0,1,0,0,
156,5,2015-07-31,8828.0,821.0,1.0,1,0,1,
157,5,2015-07-31,10975.0,1060.0,1.0,1,0,1,
158,5,2015-07-31,11335.0,636.0,1.0,1,0,1,
159,5,2015-07-31,9758.0,812.0,1.0,1,0,0,
160,5,2015-07-31,7839.0,670.0,1.0,1,0,1,
161,5,2015-07-31,9373.0,924.0,1.0,1,0,1,
162,5,2015-07-31,10735.0,658.0,1.0,1,0,1,
163,5,2015-07-31,7118.0,823.0,1.0,1,0,1,
164,5,2015-07-31,9240.0,792.0,1.0,1,0,0,
165,5,2015-07-31,5009.0,501.0,1.0,1,0,0,
166,5,2015-07-31,6588.0,898.0,1.0,1,0,1,
168,5,2015-07-31,11285.0,957.0,1.0,1,0,1,
169,5,2015-07-31,7551.0,657.0,1.0,1,0,1,
171,5,2015-07-31,8733.0,848.0,1.0,1,0,1,
172,5,2015-07-31,7780.0,891.0,1.0,1,0,0,
173,5,2015-07-31,11034.0,1145.0,1.0,1,0,1,
174,5,2015-07-31,6546.0,544.0,1.0,1,0,0,
176,5,2015-07-31,7157.0,734.0,1.0,1,0,1,
177,5,2015-07-31,5012.0,525.0,1.0,1,0,1,
178,5,2015-07-31,12816.0,1070.0,1.0,1,0,1,
179,5,2015-07-31,10635.0,1183.0,1.0,1,0,1,
180,5,2015-07-31,9708.0,910.0,1.0,1,0,1,
182,5,2015-07-31,6755.0,491.0,1.0,1,0,1,
184,5,2015-07-31,8190.0,652.0,1.0,1,0,1,
186,5,2015-07-31,4957.0,447.0,1.0,1,0,0,
187,5,2015-07-31,8074.0,907.0,1.0,1,0,1,
188,5,2015-07-31,9660.0,746.0,1.0,1,0,1,
189,5,2015-07-31,11094.0,940.0,1.0,1,0,1,
190,5,2015-07-31,9772.0,821.0,1.0,1,0,0,
191,5,2015-07-31,8592.0,801.0,1.0,1,0,0,
192,5,2015-07-31,16191.0,1027.0,1.0,1,0,0,
193,5,2015-07-31,5904.0,813.0,1.0,1,0,1,
194,5,2015-07-31,6708.0,518.0,1.0,1,0,1,
195,5,2015-07-31,13443.0,1403.0,1.0,1,0,1,
196,5,2015-07-31,6784.0,780.0,1.0,1,0,1,
197,5,2015-07-31,10136.0,1054.0,1.0,1,0,1,
198,5,2015-07-31,3824.0,473.0,1.0,1,0,1,
199,5,2015-07-31,10260.0,756.0,1.0,1,0,1,
200,5,2015-07-31,11177.0,1122.0,1.0,1,0,1,
201,5,2015-07-31,6625.0,544.0,1.0,1,0,1,
203,5,2015-07-31,8132.0,960.0,1.0,1,0,1,
205,5,2015-07-31,8665.0,969.0,1.0,1,0,1,
206,5,2015-07-31,10354.0,1004.0,1.0,1,0,1,
207,5,2015-07-31,13957.0,1436.0,1.0,1,0,1,
209,5,2015-07-31,8912.0,830.0,1.0,1,0,1,
211,5,2015-07-31,17286.0,1659.0,1.0,1,0,1,
212,5,2015-07-31,6049.0,471.0,1.0,1,0,1,
214,5,2015-07-31,11117.0,805.0,1.0,1,0,1,
215,5,2015-07-31,9660.0,705.0,1.0,1,0,0,
216,5,2015-07-31,10252.0,1077.0,1.0,1,0,1,
218,5,2015-07-31,5685.0,768.0,1.0,1,0,0,
219,5,2015-07-31,3511.0,433.0,1.0,1,0,1,
220,5,2015-07-31,5324.0,687.0,1.0,1,0,1,
221,5,2015-07-31,7750.0,651.0,1.0,1,0,1,
222,5,2015-07-31,6468.0,627.0,1.0,1,0,1,
223,5,2015-07-31,10141.0,898.0,1.0,1,0,1,
224,5,2015-07-31,9423.0,594.0,1.0,1,0,1,
225,5,2015-07-31,7849.0,682.0,1.0,1,0,1,
226,5,2015-07-31,8052.0,730.0,1.0,1,0,1,
228,5,2015-07-31,10369.0,689.0,1.0,1,0,1,
230,5,2015-07-31,10988.0,1091.0,1.0,1,0,1,
231,5,2015-07-31,8353.0,614.0,1.0,1,0,0,
232,5,2015-07-31,5738.0,469.0,1.0,1,0,1,
233,5,2015-07-31,12157.0,1148.0,1.0,1,0,1,
234,5,2015-07-31,13943.0,1088.0,1.0,1,0,1,
236,5,2015-07-31,10336.0,1086.0,1.0,1,0,1,
237,5,2015-07-31,4879.0,564.0,1.0,1,0,1,
238,5,2015-07-31,11530.0,1372.0,1.0,1,0,1,
239,5,2015-07-31,6757.0,523.0,1.0,1,0,1,
240,5,2015-07-31,5195.0,474.0,1.0,1,0,1,
241,5,2015-07-31,8650.0,763.0,1.0,1,0,1,
242,5,2015-07-31,5056.0,451.0,1.0,1,0,1,
243,5,2015-07-31,11404.0,1249.0,1.0,1,0,0,
244,5,2015-07-31,6461.0,635.0,1.0,1,0,1,
246,5,2015-07-31,10031.0,1131.0,1.0,1,0,1,
247,5,2015-07-31,11660.0,839.0,1.0,1,0,1,
248,5,2015-07-31,11444.0,1228.0,1.0,1,0,1,
250,5,2015-07-31,13232.0,887.0,1.0,1,0,1,
251,5,2015-07-31,22205.0,2508.0,1.0,1,0,1,
252,5,2015-07-31,13647.0,954.0,1.0,1,0,1,
253,5,2015-07-31,8801.0,906.0,1.0,1,0,1,
254,5,2015-07-31,4239.0,315.0,1.0,1,0,1,
255,5,2015-07-31,8711.0,739.0,1.0,1,0,1,
256,5,2015-07-31,11536.0,1185.0,1.0,1,0,1,
259,5,2015-07-31,14096.0,2628.0,1.0,1,0,1,
260,5,2015-07-31,6849.0,835.0,1.0,1,0,1,
262,5,2015-07-31,25774.0,3669.0,1.0,1,0,1,
263,5,2015-07-31,5216.0,440.0,1.0,1,0,0,
264,5,2015-07-31,8303.0,992.0,1.0,1,0,1,
265,5,2015-07-31,7502.0,655.0,1.0,1,0,1,
266,5,2015-07-31,4779.0,495.0,1.0,1,0,1,
267,5,2015-07-31,11326.0,1217.0,1.0,1,0,1,
268,5,2015-07-31,7492.0,740.0,1.0,1,0,1,
269,5,2015-07-31,12197.0,1304.0,1.0,1,0,1,
271,5,2015-07-31,10104.0,934.0,1.0,1,0,1,
272,5,2015-07-31,9109.0,774.0,1.0,1,0,1,
273,5,2015-07-31,9189.0,792.0,1.0,1,0,1,
277,5,2015-07-31,9262.0,724.0,1.0,1,0,0,
279,5,2015-07-31,12709.0,814.0,1.0,1,0,0,
280,5,2015-07-31,8189.0,579.0,1.0,1,0,1,
282,5,2015-07-31,4761.0,608.0,1.0,1,0,1,
283,5,2015-07-31,9829.0,839.0,1.0,1,0,0,
284,5,2015-07-31,6788.0,520.0,1.0,1,0,0,
285,5,2015-07-31,7052.0,540.0,1.0,1,0,1,
286,5,2015-07-31,5093.0,438.0,1.0,1,0,1,
289,5,2015-07-31,7522.0,616.0,1.0,1,0,1,
290,5,2015-07-31,8386.0,719.0,1.0,1,0,1,
291,5,2015-07-31,10052.0,973.0,1.0,1,0,1,
293,5,2015-07-31,7494.0,878.0,1.0,1,0,1,
294,5,2015-07-31,7628.0,889.0,1.0,1,0,1,
295,5,2015-07-31,7687.0,834.0,1.0,1,0,1,
296,5,2015-07-31,8579.0,801.0,1.0,1,0,1,
298,5,2015-07-31,10344.0,803.0,1.0,1,0,0,
299,5,2015-07-31,9839.0,1015.0,1.0,1,0,1,
300,5,2015-07-31,10784.0,1082.0,1.0,1,0,1,
301,5,2015-07-31,6665.0,629.0,1.0,1,0,1,
302,5,2015-07-31,5356.0,393.0,1.0,1,0,1,
303,5,2015-07-31,9026.0,849.0,1.0,1,0,1,
304,5,2015-07-31,10539.0,1183.0,1.0,1,0,1,
305,5,2015-07-31,7529.0,599.0,1.0,1,0,1,
306,5,2015-07-31,6218.0,593.0,1.0,1,0,0,
307,5,2015-07-31,3419.0,377.0,1.0,1,0,1,
309,5,2015-07-31,8688.0,707.0,1.0,1,0,1,
310,5,2015-07-31,12219.0,926.0,1.0,1,0,1,
311,5,2015-07-31,8602.0,826.0,1.0,1,0,1,
312,5,2015-07-31,6678.0,651.0,1.0,1,0,1,
313,5,2015-07-31,10432.0,926.0,1.0,1,0,1,
314,5,2015-07-31,6661.0,700.0,1.0,1,0,1,
316,5,2015-07-31,11678.0,927.0,1.0,1,0,1,
317,5,2015-07-31,7374.0,683.0,1.0,1,0,0,
318,5,2015-07-31,8026.0,746.0,1.0,1,0,1,
319,5,2015-07-31,11280.0,1079.0,1.0,1,0,1,
320,5,2015-07-31,19898.0,2316.0,1.0,1,0,1,
321,5,2015-07-31,7520.0,688.0,1.0,1,0,1,
322,5,2015-07-31,6826.0,621.0,1.0,1,0,1,
323,5,2015-07-31,10371.0,716.0,1.0,1,0,1,
326,5,2015-07-31,8094.0,544.0,1.0,1,0,1,
328,5,2015-07-31,5662.0,577.0,1.0,1,0,1,
330,5,2015-07-31,5509.0,489.0,1.0,1,0,1,
331,5,2015-07-31,7537.0,814.0,1.0,1,0,1,
332,5,2015-07-31,4432.0,520.0,1.0,1,0,1,
333,5,2015-07-31,13459.0,1399.0,1.0,1,0,1,
334,5,2015-07-31,6583.0,599.0,1.0,1,0,1,
335,5,2015-07-31,17867.0,2592.0,1.0,1,0,1,
337,5,2015-07-31,7345.0,493.0,1.0,1,0,1,
338,5,2015-07-31,8566.0,657.0,1.0,1,0,1,
339,5,2015-07-31,7080.0,840.0,1.0,1,0,1,
340,5,2015-07-31,8192.0,802.0,1.0,1,0,1,
341,5,2015-07-31,6994.0,851.0,1.0,1,0,1,
342,5,2015-07-31,14485.0,987.0,1.0,1,0,0,
343,5,2015-07-31,9742.0,802.0,1.0,1,0,1,
344,5,2015-07-31,12767.0,1434.0,1.0,1,0,1,
345,5,2015-07-31,4989.0,505.0,1.0,1,0,0,
346,5,2015-07-31,8934.0,734.0,1.0,1,0,1,
347,5,2015-07-31,7512.0,504.0,1.0,1,0,1,
348,5,2015-07-31,10047.0,831.0,1.0,1,0,0,
349,5,2015-07-31,9281.0,873.0,1.0,1,0,1,
351,5,2015-07-31,8603.0,652.0,1.0,1,0,1,
352,5,2015-07-31,8204.0,716.0,1.0,1,0,1,
353,5,2015-07-31,7851.0,1851.0,1.0,1,0,1,
354,5,2015-07-31,10053.0,791.0,1.0,1,0,1,
355,5,2015-07-31,12766.0,1304.0,1.0,1,0,1,
356,5,2015-07-31,9347.0,602.0,1.0,1,0,1,
357,5,2015-07-31,10131.0,1218.0,1.0,1,0,1,
358,5,2015-07-31,12667.0,1215.0,1.0,1,0,1,
359,5,2015-07-31,8544.0,653.0,1.0,1,0,1,
360,5,2015-07-31,9135.0,881.0,1.0,1,0,1,
361,5,2015-07-31,9806.0,812.0,1.0,1,0,1,
362,5,2015-07-31,11686.0,1257.0,1.0,1,0,1,
363,5,2015-07-31,9564.0,1061.0,1.0,1,0,1,
364,5,2015-07-31,7160.0,758.0,1.0,1,0,1,
365,5,2015-07-31,8742.0,754.0,1.0,1,0,0,
366,5,2015-07-31,9155.0,772.0,1.0,1,0,1,
367,5,2015-07-31,7514.0,646.0,1.0,1,0,1,
368,5,2015-07-31,16556.0,1025.0,1.0,1,0,1,
370,5,2015-07-31,9747.0,714.0,1.0,1,0,1,
373,5,2015-07-31,6621.0,405.0,1.0,1,0,1,
375,5,2015-07-31,13241.0,1038.0,1.0,1,0,1,
376,5,2015-07-31,11300.0,1083.0,1.0,1,0,1,
377,5,2015-07-31,14940.0,1400.0,1.0,1,0,1,
379,5,2015-07-31,5550.0,574.0,1.0,1,0,1,
380,5,2015-07-31,17133.0,1498.0,1.0,1,0,1,
381,5,2015-07-31,10760.0,977.0,1.0,1,0,1,
383,5,2015-07-31,22129.0,2297.0,1.0,1,0,1,
385,5,2015-07-31,8807.0,740.0,1.0,1,0,0,
386,5,2015-07-31,10007.0,713.0,1.0,1,0,1,
387,5,2015-07-31,14533.0,1402.0,1.0,1,0,1,
390,5,2015-07-31,16172.0,1219.0,1.0,1,0,1,
391,5,2015-07-31,8431.0,925.0,1.0,1,0,1,
392,5,2015-07-31,7261.0,748.0,1.0,1,0,1,
393,5,2015-07-31,8124.0,725.0,1.0,1,0,1,
394,5,2015-07-31,10549.0,760.0,1.0,1,0,1,
395,5,2015-07-31,4966.0,587.0,1.0,1,0,1,
396,5,2015-07-31,13780.0,1227.0,1.0,1,0,1,
397,5,2015-07-31,8130.0,955.0,1.0,1,0,1,
398,5,2015-07-31,8246.0,787.0,1.0,1,0,1,
400,5,2015-07-31,11084.0,1369.0,1.0,1,0,1,
401,5,2015-07-31,8951.0,733.0,1.0,1,0,1,
402,5,2015-07-31,6904.0,668.0,1.0,1,0,1,
403,5,2015-07-31,8698.0,812.0,1.0,1,0,1,
404,5,2015-07-31,6690.0,669.0,1.0,1,0,1,
405,5,2015-07-31,5569.0,530.0,1.0,1,0,1,
406,5,2015-07-31,10916.0,710.0,1.0,1,0,1,
407,5,2015-07-31,6393.0,446.0,1.0,1,0,0,
408,5,2015-07-31,7985.0,639.0,1.0,1,0,1,
409,5,2015-07-31,7235.0,641.0,1.0,1,0,1,
410,5,2015-07-31,7959.0,878.0,1.0,1,0,1,
413,5,2015-07-31,10228.0,1110.0,1.0,1,0,0,
414,5,2015-07-31,7805.0,547.0,1.0,1,0,1,
415,5,2015-07-31,7713.0,583.0,1.0,1,0,1,
416,5,2015-07-31,13376.0,1425.0,1.0,1,0,1,
417,5,2015-07-31,9051.0,835.0,1.0,1,0,1,
418,5,2015-07-31,8180.0,801.0,1.0,1,0,1,
419,5,2015-07-31,8159.0,1030.0,1.0,1,0,1,
420,5,2015-07-31,6377.0,516.0,1.0,1,0,0,
421,5,2015-07-31,14471.0,1288.0,1.0,1,0,1,
423,5,2015-07-31,13331.0,2213.0,1.0,1,0,1,
425,5,2015-07-31,4744.0,560.0,1.0,1,0,1,
426,5,2015-07-31,5535.0,667.0,1.0,1,0,1,
427,5,2015-07-31,10228.0,880.0,1.0,1,0,0,
428,5,2015-07-31,7940.0,635.0,1.0,1,0,0,
429,5,2015-07-31,6999.0,523.0,1.0,1,0,0,
430,5,2015-07-31,11246.0,868.0,1.0,1,0,0,
432,5,2015-07-31,13988.0,1795.0,1.0,1,0,1,
433,5,2015-07-31,8970.0,904.0,1.0,1,0,1,
434,5,2015-07-31,12333.0,767.0,1.0,1,0,0,
435,5,2015-07-31,3142.0,388.0,1.0,1,0,1,
436,5,2015-07-31,7465.0,731.0,1.0,1,0,1,
437,5,2015-07-31,9287.0,847.0,1.0,1,0,1,
438,5,2015-07-31,6736.0,614.0,1.0,1,0,1,
440,5,2015-07-31,8230.0,839.0,1.0,1,0,1,
441,5,2015-07-31,8718.0,847.0,1.0,1,0,1,
442,5,2015-07-31,7478.0,637.0,1.0,1,0,1,
443,5,2015-07-31,7056.0,566.0,1.0,1,0,1,
444,5,2015-07-31,14441.0,1573.0,1.0,1,0,1,
447,5,2015-07-31,5700.0,614.0,1.0,1,0,1,
448,5,2015-07-31,8924.0,786.0,1.0,1,0,1,
450,5,2015-07-31,10830.0,1096.0,1.0,1,0,1,
452,5,2015-07-31,7541.0,642.0,1.0,1,0,1,
453,5,2015-07-31,13328.0,1553.0,1.0,1,0,1,
454,5,2015-07-31,8073.0,887.0,1.0,1,0,1,
455,5,2015-07-31,9743.0,566.0,1.0,1,0,1,
456,5,2015-07-31,7183.0,935.0,1.0,1,0,1,
457,5,2015-07-31,7040.0,555.0,1.0,1,0,0,
458,5,2015-07-31,9276.0,779.0,1.0,1,0,1,
459,5,2015-07-31,13873.0,1450.0,1.0,1,0,1,
460,5,2015-07-31,5538.0,541.0,1.0,1,0,1,
461,5,2015-07-31,6252.0,567.0,1.0,1,0,1,
463,5,2015-07-31,6403.0,880.0,1.0,1,0,1,
464,5,2015-07-31,11967.0,1271.0,1.0,1,0,1,
466,5,2015-07-31,9329.0,914.0,1.0,1,0,1,
467,5,2015-07-31,17208.0,1761.0,1.0,1,0,1,
468,5,2015-07-31,8281.0,804.0,1.0,1,0,1,
469,5,2015-07-31,16964.0,1868.0,1.0,1,0,1,
471,5,2015-07-31,9116.0,703.0,1.0,1,0,0,
472,5,2015-07-31,7981.0,783.0,1.0,1,0,1,
473,5,2015-07-31,4267.0,511.0,1.0,1,0,1,
474,5,2015-07-31,9034.0,825.0,1.0,1,0,1,
475,5,2015-07-31,6834.0,1024.0,1.0,1,0,1,
476,5,2015-07-31,7562.0,748.0,1.0,1,0,1,
477,5,2015-07-31,7885.0,533.0,1.0,1,0,0,
478,5,2015-07-31,10068.0,870.0,1.0,1,0,1,
479,5,2015-07-31,16699.0,1687.0,1.0,1,0,1,
480,5,2015-07-31,6233.0,720.0,1.0,1,0,1,
481,5,2015-07-31,8419.0,651.0,1.0,1,0,1,
482,5,2015-07-31,9814.0,974.0,1.0,1,0,1,
483,5,2015-07-31,6200.0,712.0,1.0,1,0,1,
484,5,2015-07-31,10638.0,878.0,1.0,1,0,1,
485,5,2015-07-31,6914.0,554.0,1.0,1,0,0,
486,5,2015-07-31,6225.0,661.0,1.0,1,0,1,
487,5,2015-07-31,9624.0,828.0,1.0,1,0,1,
488,5,2015-07-31,4184.0,401.0,1.0,1,0,1,
490,5,2015-07-31,9184.0,1129.0,1.0,1,0,0,
491,5,2015-07-31,9951.0,625.0,1.0,1,0,1,
492,5,2015-07-31,10485.0,1341.0,1.0,1,0,0,
493,5,2015-07-31,11090.0,933.0,1.0,1,0,1,
494,5,2015-07-31,9970.0,1202.0,1.0,1,0,1,
495,5,2015-07-31,6995.0,492.0,1.0,1,0,1,
496,5,2015-07-31,10834.0,926.0,1.0,1,0,1,
497,5,2015-07-31,11353.0,1248.0,1.0,1,0,1,
498,5,2015-07-31,7685.0,903.0,1.0,1,0,0,
499,5,2015-07-31,7716.0,922.0,1.0,1,0,1,
500,5,2015-07-31,7364.0,505.0,1.0,1,0,0,
501,5,2015-07-31,6626.0,684.0,1.0,1,0,0,
502,5,2015-07-31,15473.0,1820.0,1.0,1,0,1,
503,5,2015-07-31,9654.0,609.0,1.0,1,0,1,
504,5,2015-07-31,10679.0,1117.0,1.0,1,0,1,
505,5,2015-07-31,7087.0,734.0,1.0,1,0,1,
506,5,2015-07-31,11162.0,1039.0,1.0,1,0,1,
507,5,2015-07-31,10706.0,726.0,1.0,1,0,1,
509,5,2015-07-31,8130.0,576.0,1.0,1,0,1,
510,5,2015-07-31,11537.0,951.0,1.0,1,0,1,
512,5,2015-07-31,8548.0,1812.0,1.0,1,0,0,
513,5,2015-07-31,19959.0,2177.0,1.0,1,0,1,
514,5,2015-07-31,7568.0,707.0,1.0,1,0,0,
515,5,2015-07-31,12823.0,871.0,1.0,1,0,1,
517,5,2015-07-31,7755.0,769.0,1.0,1,0,1,
518,5,2015-07-31,8027.0,590.0,1.0,1,0,0,
519,5,2015-07-31,8175.0,719.0,1.0,1,0,1,
520,5,2015-07-31,5170.0,512.0,1.0,1,0,1,
521,5,2015-07-31,8340.0,567.0,1.0,1,0,1,
522,5,2015-07-31,11473.0,797.0,1.0,1,0,0,
523,5,2015-07-31,15349.0,1625.0,1.0,1,0,1,
524,5,2015-07-31,11966.0,1049.0,1.0,1,0,1,
525,5,2015-07-31,10461.0,893.0,1.0,1,0,1,
527,5,2015-07-31,14510.0,1162.0,1.0,1,0,1,
528,5,2015-07-31,14384.0,1166.0,1.0,1,0,1,
530,5,2015-07-31,9561.0,1438.0,1.0,1,0,1,
531,5,2015-07-31,5374.0,584.0,1.0,1,0,1,
532,5,2015-07-31,10981.0,1236.0,1.0,1,0,1,
533,5,2015-07-31,15364.0,1306.0,1.0,1,0,1,
534,5,2015-07-31,10914.0,723.0,1.0,1,0,0,
535,5,2015-07-31,8794.0,947.0,1.0,1,0,1,
536,5,2015-07-31,13528.0,1209.0,1.0,1,0,1,
537,5,2015-07-31,8220.0,743.0,1.0,1,0,1,
539,5,2015-07-31,14009.0,1271.0,1.0,1,0,0,
540,5,2015-07-31,8908.0,517.0,1.0,1,0,0,
541,5,2015-07-31,9015.0,971.0,1.0,1,0,1,
542,5,2015-07-31,6598.0,568.0,1.0,1,0,0,
543,5,2015-07-31,3377.0,274.0,1.0,1,0,1,
546,5,2015-07-31,14468.0,1617.0,1.0,1,0,1,
547,5,2015-07-31,6818.0,510.0,1.0,1,0,0,
548,5,2015-07-31,5101.0,381.0,1.0,1,0,1,
549,5,2015-07-31,6023.0,650.0,1.0,1,0,1,
550,5,2015-07-31,6482.0,491.0,1.0,1,0,1,
551,5,2015-07-31,11632.0,1278.0,1.0,1,0,1,
554,5,2015-07-31,5927.0,654.0,1.0,1,0,1,
