Store,Sales,Customers,DayOfWeek,Open,Promo,SchoolHoliday,StateHoliday
576,3350,425,2,1,0,0,0
276,8350,775,2,1,0,0,0
1026,5850,625,2,1,1,1,0
76,5550,475,0,1,1,0,0
1102,0,0,2,1,0,0,0
526,14150,825,2,1,0,0,0
1026,10150,575,0,0,1,0,0
976,0,0,2,1,1,1,0
26,4750,1125,2,1,0,0,0
226,6250,625,2,0,1,1,0
26,13450,975,0,1,1,1,0
426,4750,575,2,1,0,0,0
26,0,0,2,1,0,0,0
1026,10750,1225,0,1,1,1,0
976,9150,225,2,1,0,0,0
176,2150,925,2,1,0,0,0
926,5150,725,2,1,0,0,0
76,6050,925,2,1,1,0,0
1026,18050,475,2,1,1,0,0
726,3450,1175,2,1,0,0,0
726,4550,475,2,1,0,0,0
476,8650,725,2,1,0,0,0
1026,5950,275,2,1,0,0,0
426,10550,1075,2,1,0,0,0
976,4550,375,2,1,1,0,0
626,5050,325,2,1,1,0,0
976,7250,725,2,1,1,0,0
126,4450,775,0,0,1,0,0
776,0,0,2,1,1,0,0
676,6850,675,2,1,0,0,0
26,3150,475,2,1,0,0,0
1076,0,1025,2,1,0,0,a
76,0,0,2,1,0,0,0
476,7450,575,0,0,1,0,0
376,0,1375,0,0,1,0,0
576,4550,325,2,1,0,0,0
626,15050,525,2,1,1,0,0
676,4550,2325,0,0,1,0,0
126,13950,875,2,1,0,0,0
376,5050,525,2,1,1,0,0
26,4650,525,2,1,0,0,0
826,0,0,2,1,0,0,0
1076,0,0,2,1,1,0,0
76,4950,625,2,1,1,1,0
876,14250,0,2,1,0,0,0
726,3150,275,2,1,0,0,0
126,0,0,2,1,1,0,0
726,8450,925,2,1,0,0,0
526,11050,875,2,1,0,0,0
226,6350,575,2,1,1,1,0
976,4850,575,2,1,0,0,0
976,7750,725,2,1,1,0,0
126,5650,525,2,1,0,0,0
976,0,0,2,1,0,0,0
26,6950,775,2,1,0,0,0
76,0,0,2,1,1,1,0
1026,8250,875,0,1,1,1,0
1026,9050,775,2,1,0,0,0
876,5150,675,2,1,0,0,0
526,9350,175,2,1,1,0,0
826,3850,325,2,1,0,0,0
926,14850,2325,2,1,1,0,0
376,9550,875,2,1,0,0,0
576,7050,675,2,1,0,0,0
1076,0,0,2,1,0,0,0
226,3550,1275,2,1,1,0,0
676,8250,825,2,1,0,0,0
76,0,0,2,1,0,0,0
26,9950,325,2,1,0,0,0
526,5150,525,2,1,1,1,0
626,13650,625,2,1,1,0,0
426,5550,575,2,1,0,0,0
626,4350,475,2,1,1,1,0
26,3150,325,2,1,0,0,0
376,1850,1075,2,1,0,0,0
426,4150,625,2,1,1,0,0
626,7750,725,2,1,0,0,0
526,3050,525,2,1,0,0,0
426,4950,1925,2,0,1,0,0
676,0,0,0,0,1,0,0
226,9750,825,2,1,0,0,0
676,5850,825,2,1,0,0,0
176,8950,1025,0,0,0,1,0
876,8750,775,2,1,0,0,0
176,6050,875,2,1,1,0,0
276,10350,875,2,1,0,0,0
1026,5950,1025,2,1,1,0,0
926,3250,325,0,1,1,1,0
476,2950,1325,2,1,0,0,0
926,7150,975,2,1,0,0,0
226,0,0,2,0,1,0,0
876,0,475,2,1,1,0,0
276,5150,525,2,1,0,0,0
526,6250,525,2,1,1,1,0
26,10650,375,2,1,0,0,0
776,4450,425,2,1,1,1,0
426,5150,675,2,1,0,0,0
26,7150,625,2,1,0,0,0
676,14150,1075,2,1,0,0,0
626,4350,475,2,1,1,1,0
176,12350,1075,2,1,0,0,0
26,10650,225,2,1,1,0,0
376,8650,575,2,1,0,0,0
976,6450,1425,2,0,1,1,0
426,11550,625,2,1,0,0,0
226,6350,575,2,0,1,1,0
826,2850,725,0,1,0,0,0
826,8350,575,2,1,0,0,0
526,5950,725,0,1,1,0,0
576,6050,475,2,1,0,0,0
376,8050,1275,2,1,0,0,0
626,5450,925,2,1,1,0,0
476,3750,575,2,1,0,0,0
326,6950,925,2,1,0,0,0
176,11050,1475,2,1,0,0,0
1076,5950,575,2,1,0,0,0
1026,7050,525,0,1,1,1,0
726,5150,575,2,1,1,1,0
926,5150,525,2,1,0,0,0
526,4250,1775,2,1,0,0,0
1026,0,1225,2,1,0,0,0
826,9050,575,2,1,0,0,0
376,6650,825,0,1,0,0,0
76,0,0,2,1,0,0,0
176,16050,875,0,1,1,1,0
326,0,0,2,1,1,1,0
126,10250,675,2,1,0,0,0
1076,6350,925,2,1,1,0,0
26,0,0,0,0,1,0,0
126,4550,525,2,1,0,0,0
126,8150,775,2,1,0,0,0
126,3450,875,2,1,0,0,0
226,8450,925,2,1,0,0,0
376,6850,625,2,1,0,0,0
926,0,0,2,1,1,0,0
1076,5950,825,2,1,1,0,0
176,4350,1725,2,1,0,0,0
476,5050,1175,2,1,0,0,0
76,0,0,2,1,1,0,0
426,0,0,2,0,1,1,0
1076,13050,625,0,1,1,1,0
776,6650,575,2,1,0,0,0
376,9150,925,2,1,1,1,0
426,8550,975,0,0,0,1,0
1026,6450,475,2,1,0,0,0
26,3850,375,2,1,0,0,0
926,8050,625,2,1,0,0,0
326,6850,825,2,0,1,0,0
226,4750,475,2,1,0,0,0
326,5850,475,2,1,0,0,0
176,11050,1025,2,1,0,0,0
276,8450,875,2,1,0,0,0
26,3050,625,2,1,0,0,0
926,0,1025,2,1,0,0,0
776,11350,1225,2,1,0,0,0
426,7150,775,0,1,1,0,0
676,6150,875,2,1,0,0,0
376,9050,625,2,1,0,0,0
176,4650,475,2,0,1,1,0
976,4850,675,2,1,1,0,0
276,5150,675,2,1,0,0,0
326,8550,1175,2,1,0,0,0
326,8250,825,2,1,1,0,0
526,8250,625,2,1,0,0,0
526,6350,825,2,1,0,0,0
176,9250,975,2,1,0,0,0
576,8350,675,2,1,0,0,0
176,0,0,2,1,1,0,0
526,5850,1575,2,0,1,0,0
476,0,0,2,1,0,0,a
376,5050,525,2,1,1,1,0
176,7750,675,2,1,1,0,0
926,9650,1025,2,1,1,1,0
926,8050,775,2,1,0,0,0
126,7850,625,2,1,1,1,0
1076,9450,625,2,1,0,0,0
726,0,0,2,1,0,0,0
76,3550,475,2,1,1,0,0
426,4150,525,2,1,1,0,0
676,11250,1875,2,0,1,1,0
176,0,0,2,1,0,0,0
1076,13850,0,2,1,1,1,0
776,4850,625,0,1,0,1,0
176,4650,475,2,1,1,1,0
626,0,0,2,1,0,0,0
476,7550,725,2,1,0,0,0
276,7650,2325,2,1,1,1,0
26,4250,375,2,1,0,0,0
976,5550,475,2,1,1,0,0
776,6650,575,2,1,0,0,0
626,5150,475,2,0,1,1,0
176,4450,525,2,0,1,0,0
376,5650,625,2,1,1,0,0
126,0,0,2,1,0,0,0
226,3850,425,2,1,1,1,0
926,5350,725,2,1,0,0,0
476,5050,575,2,0,1,1,0
926,1650,775,2,1,1,0,0
626,8050,1025,2,1,0,0,0
926,6950,625,2,1,0,0,0
76,0,575,2,0,1,0,0
76,0,0,2,1,0,0,0
1026,0,1225,2,1,0,0,0
426,4750,425,2,1,0,0,0
676,12650,575,2,1,0,0,0
276,3350,475,2,1,1,0,0
26,9950,925,2,1,0,0,0
326,13450,225,0,1,1,1,0
226,10150,575,2,1,0,0,0
376,0,0,2,1,0,0,0
926,4150,425,2,1,0,0,0
826,8650,625,2,1,0,0,0
726,7250,625,2,1,0,0,0
626,9150,825,0,1,1,0,0
576,6750,525,2,1,0,0,0
626,12750,725,2,1,0,0,0
26,10550,875,2,1,0,0,0
476,5550,675,2,1,0,0,0
476,8850,1025,2,1,1,0,0
1102,0,0,2,1,1,1,0
1076,0,0,2,0,1,0,0
576,6950,725,2,1,1,1,0
176,4950,425,2,1,0,0,0
526,3950,375,2,1,0,0,0
826,14450,1025,2,1,0,0,0
976,5150,425,2,1,0,0,0
1076,13050,1125,0,1,1,1,0
1026,9850,1075,2,1,0,0,0
876,6650,525,2,1,0,0,0
326,7950,725,0,1,1,1,0
776,3650,375,2,1,0,0,0
1026,0,0,2,1,0,0,0
326,10450,875,2,1,0,0,0
1076,6850,675,2,1,0,0,0
976,6350,1225,2,1,1,1,0
1026,4050,575,2,1,1,0,0
576,7750,625,2,1,1,0,0
1026,0,675,2,1,0,0,0
226,10850,875,0,1,1,0,0
526,3850,1325,2,0,1,1,0
926,0,0,2,1,1,0,0
476,9450,1425,2,1,1,1,0
376,6650,625,0,1,1,0,0
776,4350,525,2,1,0,0,0
676,9450,925,2,1,0,0,0
1076,13450,1275,0,1,1,1,0
576,3450,425,2,1,0,0,0
776,0,1375,2,1,1,0,0
376,7950,725,2,1,0,0,0
626,6650,975,2,1,0,0,0
676,13350,725,2,1,0,0,0
126,0,0,2,0,1,1,0
126,7250,925,2,1,0,0,0
226,0,1075,2,1,0,0,0
226,9050,1275,0,1,1,0,0
176,7750,675,2,1,1,1,0
1076,6950,475,2,1,0,0,0
1076,12250,1225,2,1,0,0,0
126,0,0,2,0,0,1,a
476,9750,1075,2,1,1,0,0
826,7150,925,2,1,0,0,0
276,5850,475,2,1,0,0,0
826,6250,475,0,1,0,1,0
476,7150,675,2,1,0,0,0
1076,13850,1125,2,1,1,1,0
426,8550,975,0,0,0,1,0
926,1550,1125,2,1,0,0,0
1076,5350,575,2,0,1,0,0
976,8250,1075,2,1,1,1,0
276,8850,1125,2,1,0,0,0
376,6950,1125,0,1,1,0,0
626,0,0,2,1,1,1,0
626,9850,1125,0,1,1,0,0
826,21350,0,2,1,0,0,0
26,7450,825,2,1,1,1,0
26,5050,475,2,0,1,0,0
826,9050,725,2,1,0,0,0
776,2450,325,2,1,0,0,0
626,8650,475,2,1,1,1,0
726,5650,575,2,0,1,0,0
626,10050,1375,2,1,0,0,0
26,10350,375,2,0,1,1,0
276,10250,1425,2,1,0,0,0
476,5850,1425,2,1,0,0,0
776,8150,1025,2,1,0,0,0
726,4750,475,2,1,1,0,0
676,12550,875,2,1,0,0,0
276,0,0,2,1,1,0,0
476,7250,525,0,1,1,0,0
676,8350,675,2,1,0,0,0
1026,10050,775,2,1,0,0,0
1026,10750,725,2,1,0,0,0
826,5750,525,2,0,1,0,0
76,6850,625,2,1,1,1,0
826,3550,875,2,1,0,0,0
976,6750,725,2,1,1,1,0
726,7350,925,0,0,1,0,0
276,4250,625,2,1,0,0,0
676,10050,3725,2,1,0,0,0
676,6950,675,0,1,1,0,0
726,10750,1375,2,1,0,0,0
376,7150,625,0,1,1,1,0
776,13550,475,2,1,0,0,0
1102,0,0,2,1,0,0,0
676,0,0,0,0,1,0,0
376,10050,725,2,1,0,0,0
776,12150,575,2,1,0,0,0
176,2650,275,2,1,0,0,0
526,6850,425,2,1,0,0,0
726,10950,1325,2,1,0,0,0
676,5750,475,0,0,1,0,0
26,0,0,2,1,1,1,0
226,7050,525,2,1,0,0,0
626,8350,1025,2,1,0,0,0
426,1850,1275,2,1,0,0,0
476,5250,725,2,1,0,0,0
376,9350,1425,2,1,1,0,0
676,7350,775,2,1,0,0,0
226,9050,925,2,1,0,0,0
576,6350,475,2,1,0,0,0
1026,9850,625,0,0,1,0,0
1076,4150,575,2,1,0,0,0
26,15450,1025,2,1,0,0,0
26,4250,1425,2,1,0,0,0
226,12350,375,0,1,1,0,0
526,7950,775,2,1,0,0,0
176,0,0,2,1,0,0,0
726,6150,1325,2,1,0,0,0
776,0,0,2,1,1,1,0
276,7450,625,2,1,0,0,0
976,0,0,2,1,1,1,0
476,5550,825,2,1,1,0,0
526,9150,675,2,1,0,0,0
226,0,0,0,1,1,1,0
626,9050,825,2,1,0,0,0
326,3750,425,2,1,0,0,0
626,6950,675,0,1,1,0,0
426,6050,675,0,0,1,0,0
1102,5250,675,2,1,0,0,0
376,8750,275,2,1,1,0,0
376,5350,675,2,0,1,0,0
1026,18450,1325,2,1,0,0,0
76,7350,625,0,0,1,0,0
626,0,225,0,0,0,1,0
1076,7350,625,2,1,0,0,0
276,5050,675,2,1,0,0,0
326,7350,675,2,1,0,0,0
176,4650,475,2,1,1,0,0
726,7350,0,2,1,0,0,0
276,13750,425,2,1,0,0,0
526,5850,675,2,1,0,0,0
176,8350,725,0,0,1,0,0
1076,4450,575,2,1,0,0,0
626,6450,825,2,0,1,0,0
176,9250,975,2,1,0,0,0
176,5650,775,2,1,0,0,0
826,4250,625,2,1,1,0,0
976,0,0,2,1,1,0,0
176,6650,775,2,1,0,0,0
726,6250,675,2,1,0,0,0
1076,3350,425,2,1,0,0,0
526,6050,775,2,1,0,0,0
626,8950,575,2,1,0,0,0
776,7050,625,2,1,0,0,0
976,6450,425,0,1,1,0,0
126,8150,925,0,0,0,1,0
126,6550,475,2,1,0,0,0
926,9450,775,2,1,0,0,0
976,7450,875,2,1,0,0,0
626,7650,975,2,1,1,1,0
1026,5950,975,2,1,0,0,0
326,7650,675,2,1,0,0,0
76,8050,625,0,1,1,1,0
676,11150,875,2,1,0,0,0
626,3850,525,2,1,0,0,0
26,9050,1025,2,1,1,1,0
1026,4650,525,2,1,0,0,0
676,5650,425,2,1,1,0,0
176,5150,675,2,1,0,0,0
726,3750,275,2,1,0,0,0
826,4650,625,2,0,1,0,0
426,5550,625,2,0,1,0,0
176,9550,925,2,1,0,0,0
76,4150,425,2,1,0,0,0
776,4450,525,2,1,0,0,0
376,0,0,0,0,1,0,0
776,0,825,2,1,0,0,0
426,8250,725,2,1,0,0,0
776,7250,875,2,1,1,1,0
876,0,0,2,1,0,0,0
126,6150,725,2,1,1,0,0
126,0,0,0,1,1,0,0
676,5750,525,2,1,1,0,0
76,0,0,2,0,1,0,0
326,4850,1025,2,1,0,0,0
926,4350,325,2,1,0,0,0
576,6850,725,2,1,0,0,0
376,8950,675,2,1,0,0,0
776,13550,475,2,1,0,0,0
276,0,0,2,1,0,0,0
376,0,0,2,1,0,0,0
826,0,0,2,0,1,0,0
426,6650,575,2,1,0,0,0
1026,9550,1275,2,1,1,1,0
26,9250,625,2,1,0,0,0
926,4950,475,2,1,0,0,0
326,0,0,2,0,1,1,0
1026,6950,975,2,0,1,1,0
476,0,0,2,1,0,0,0
126,5550,575,2,1,1,0,0
126,6350,775,2,1,1,1,0
976,6350,775,2,1,0,0,0
1076,6250,3675,2,1,0,0,0
676,7250,325,0,1,1,1,0
426,10050,875,2,1,0,0,0
76,2450,275,2,1,0,0,0
26,8050,625,2,1,0,0,0
576,8950,675,2,1,0,0,0
126,7450,1425,2,1,0,0,0
676,0,0,2,1,0,0,0
276,6450,575,2,1,0,0,0
1076,10550,875,2,1,0,0,0
776,6850,625,2,1,0,0,0
726,9150,725,2,1,1,1,0
926,13250,925,2,1,1,1,0
676,4450,475,0,0,1,0,0
576,6250,775,2,1,1,0,0
926,5150,525,0,1,1,1,0
326,6050,525,2,1,1,1,0
276,4450,525,2,0,1,0,0
826,0,0,2,1,0,0,b
226,5250,375,0,1,1,1,0
976,6350,1475,2,1,0,0,0
376,4450,475,2,1,0,0,0
276,4050,375,0,0,1,0,0
826,0,0,2,1,0,0,0
976,0,1325,2,1,0,0,0
26,4850,1225,2,1,1,0,0
326,4450,475,2,1,0,0,0
1076,5150,475,2,1,1,1,0
276,4650,425,2,1,0,0,0
1076,13150,1025,2,1,0,0,0
626,0,0,2,1,0,0,0
176,4650,475,2,1,1,0,0
926,11150,875,0,1,1,1,0
76,6050,825,2,1,1,1,0
976,6650,875,0,0,1,0,0
176,11750,975,2,1,0,0,0
26,2750,1925,0,1,1,1,0
1076,8850,675,2,1,0,0,0
376,7350,525,0,1,1,1,0
226,6250,775,2,1,1,1,0
1102,7250,725,2,1,0,0,0
176,4550,375,2,1,0,0,0
276,10050,1075,2,1,0,0,0
126,4650,575,2,1,0,0,0
976,3350,325,2,1,0,0,0
526,0,0,2,1,0,0,0
826,4950,575,2,1,1,1,0
476,8150,1075,2,1,0,0,0
1076,4650,575,2,1,0,0,0
376,5450,475,2,1,0,0,0
276,3250,475,2,1,0,0,0
526,14050,675,2,1,0,0,0
426,9350,675,2,1,0,0,0
776,8650,625,2,1,0,0,0
776,4150,375,2,1,0,0,0
826,6750,825,2,1,0,0,0
876,5550,625,2,0,1,0,0
76,7150,775,2,1,0,0,0
376,9150,1025,2,1,1,1,0
976,9850,1475,2,1,0,0,0
976,8050,825,2,1,0,0,0
1026,6150,575,2,1,1,1,0
826,5850,725,0,0,0,1,0
326,6950,0,2,1,0,0,0
976,9150,975,2,1,1,1,0
826,8250,0,2,1,0,0,0
726,0,0,2,1,0,0,0
226,8050,1025,2,1,0,0,0
776,2450,325,2,1,0,0,0
526,8250,625,2,1,0,0,0
1102,14550,775,2,1,0,0,0
276,11450,675,2,1,1,1,0
476,6950,1525,2,1,0,0,0
26,6750,1175,2,0,1,1,0
326,4150,475,2,1,0,0,0
676,5150,675,2,1,0,0,0
126,13950,875,2,1,0,0,0
326,2150,625,2,1,1,0,0
1026,10850,0,2,1,0,0,0
76,5350,775,2,1,0,0,0
626,8550,725,2,1,0,0,0
376,7950,1025,2,1,0,0,0
526,0,325,0,1,1,0,0
226,6350,575,2,1,1,1,0
326,3750,475,2,1,0,0,0
526,15650,1675,2,1,0,0,0
1026,0,0,2,0,1,1,0
526,8350,725,2,1,0,0,0
176,16250,775,0,0,1,0,0
1076,7650,575,0,1,1,0,0
1076,5750,0,2,1,1,1,0
626,5250,475,2,1,0,0,0
226,4350,425,2,0,1,1,0
926,9750,675,2,1,0,0,0
176,9550,475,2,1,1,1,0
476,5950,1325,0,1,1,0,0
426,5550,575,2,1,0,0,0
276,0,0,2,1,1,0,0
26,3750,525,2,1,0,0,0
176,2750,275,2,1,0,0,0
226,0,0,2,0,1,0,0
226,5450,725,0,0,1,0,0
26,5150,525,0,1,1,1,0
176,0,0,2,1,0,0,0
876,4650,425,2,1,0,0,0
676,5050,425,2,1,0,0,0
1026,2250,0,2,1,0,0,0
126,6750,1375,2,1,0,0,0
1026,9250,975,2,1,0,0,0
176,5950,725,2,1,0,0,0
126,0,0,2,1,1,1,0
526,5550,1075,2,1,1,0,0
876,7950,825,2,1,1,0,0
926,8350,675,0,1,1,0,0
426,4150,525,2,0,1,1,0
1076,13850,1125,2,1,1,1,0
676,18950,925,2,1,1,0,0
1026,12850,1175,2,1,0,0,0
176,8950,1025,0,1,0,1,0
526,8150,625,2,1,0,0,0
576,3050,775,2,1,0,0,0
626,9150,875,2,1,1,1,0
776,9950,1025,2,1,0,0,0
1076,4450,375,2,1,0,0,0
1102,4950,475,2,1,1,1,0
376,4650,525,2,1,0,0,0
826,5350,525,2,1,0,0,0
676,12650,0,2,1,0,0,0
626,21250,425,2,1,1,0,0
976,0,0,2,1,1,1,0
1102,5450,875,2,1,1,1,0
576,4850,375,2,0,1,0,0
76,4950,625,2,1,1,0,0
1026,0,0,0,1,0,1,0
776,5350,475,2,0,1,0,0
926,0,0,0,0,0,1,0
926,9650,1025,2,1,1,0,0
26,6650,575,2,0,1,0,0
976,5650,525,2,1,0,0,0
776,6850,775,2,1,1,0,0
76,4450,675,2,1,1,1,0
676,6050,625,2,0,1,0,0
476,6050,725,2,1,0,0,0
476,7950,775,2,1,0,0,0
1076,6250,975,2,1,0,0,0
476,5450,375,2,1,0,0,0
176,0,0,2,1,0,0,0
976,4050,525,2,1,0,0,0
276,5050,675,2,1,0,0,0
376,0,0,0,0,0,1,0
726,7250,475,2,1,0,0,0
1076,13850,1125,2,1,1,1,0
176,8650,875,2,1,0,0,0
126,8350,1025,2,1,0,0,0
176,3250,375,2,1,1,0,0
826,9550,375,2,1,0,0,0
1076,4350,975,2,0,1,0,0
726,11150,1225,2,1,0,0,0
526,5250,375,2,1,0,0,0
76,3950,525,2,1,0,0,0
726,8950,375,2,1,0,0,0
376,0,0,2,1,0,0,0
126,0,0,0,1,1,1,0
926,7750,675,2,1,0,0,0
526,3650,425,2,1,0,0,0
226,6350,575,2,1,1,0,0
176,8050,675,2,1,0,0,0
776,3550,375,2,1,0,0,0
826,3650,375,2,1,0,0,0
776,0,0,2,1,0,0,0
276,0,0,0,1,1,1,0
1076,0,0,2,1,0,0,0
376,6050,725,2,1,0,0,0
1102,3750,425,2,1,0,0,0
76,0,0,2,1,1,1,0
26,15450,525,2,1,0,0,0
876,14250,0,2,1,0,0,0
626,4950,475,2,1,1,1,0
276,8850,1275,2,1,0,0,0
926,0,0,2,1,0,0,0
276,7750,1075,2,1,1,1,0
576,6350,475,2,1,0,0,0
726,10950,1325,2,1,0,0,0
476,5950,925,2,1,0,0,0
1076,5750,1025,2,1,1,0,0
426,8850,1825,2,1,0,0,0
826,3250,775,0,0,1,0,0
226,5450,725,0,1,1,0,0
726,5150,575,2,1,1,0,0
476,5050,1275,2,1,0,0,0
226,6450,525,2,1,0,0,0
1076,7550,725,0,1,1,1,0
526,6350,725,0,1,0,1,0
176,6350,525,0,1,1,0,0
276,0,0,2,1,0,0,0
376,5950,525,2,1,0,0,0
676,5250,675,0,0,1,0,0
426,5550,575,2,1,0,0,0
926,6150,475,0,0,1,0,0
626,14650,525,2,1,0,0,0
426,6150,625,0,1,1,0,0
476,5950,425,2,1,1,1,0
476,19750,1725,2,1,1,0,0
426,6250,625,2,1,0,0,0
576,6050,775,2,1,1,0,0
426,9250,1175,2,1,0,0,0
526,5150,525,2,1,1,1,0
326,3650,1175,2,1,0,0,0
26,5050,775,2,1,1,0,0
276,5750,925,2,1,0,0,0
976,4850,675,2,0,1,0,0
1026,6650,675,2,1,1,0,0
826,0,0,2,1,0,0,0
476,0,0,2,0,1,1,0
976,3850,425,2,1,0,0,0
26,4350,325,2,1,0,0,0
726,5650,575,2,0,1,0,0
1076,9550,925,2,1,0,0,0
426,0,0,2,1,0,0,0
976,8250,975,2,1,1,0,0
426,0,0,2,1,0,0,0
176,0,0,2,1,0,0,0
776,0,375,2,0,1,1,0
1026,7250,1225,0,1,1,1,0
26,0,0,2,1,0,0,0
126,18150,575,2,1,0,0,0
926,4150,425,2,1,0,0,0
176,11550,0,2,1,0,0,0
976,9050,875,2,1,0,0,0
726,5150,575,2,1,1,1,0
626,4750,425,2,1,0,0,0
926,4450,375,2,1,0,0,0
876,10250,475,2,1,0,0,0
476,4650,575,2,1,0,0,0
926,4450,675,2,1,0,0,0
76,5550,475,0,0,1,0,0
826,10650,4025,2,1,0,0,0
126,8950,1075,2,1,0,0,0
526,3750,375,2,1,0,0,0
476,5950,1325,0,1,1,0,0
576,6150,625,2,0,1,0,0
126,6050,625,2,1,0,0,0
526,6650,725,2,0,1,0,0
626,5750,525,2,1,0,0,0
826,5950,525,2,1,0,0,0
326,6450,575,2,1,0,0,0
626,8350,1025,2,0,1,0,0
1026,0,975,2,1,0,0,0
1026,12850,625,2,1,0,0,0
1026,5250,825,0,0,1,0,0
626,0,0,2,0,1,1,0
1076,3950,625,2,1,0,0,0
826,8350,725,2,1,0,0,0
526,5450,575,0,1,1,1,0
1076,3850,375,2,1,0,0,0
976,0,0,2,1,1,1,0
776,4550,475,2,1,1,0,0
926,3950,525,0,1,0,0,0
276,6950,675,2,1,0,0,0
876,8150,725,2,1,1,1,0
976,0,0,2,1,0,0,0
676,11550,625,2,1,0,0,0
776,7650,775,2,1,0,0,0
826,3750,525,2,1,0,0,0
76,5850,575,2,1,1,0,0
276,7450,675,0,0,0,1,0
226,4950,475,2,1,1,0,0
276,0,0,2,1,0,0,0
676,6450,675,2,1,0,0,0
826,5650,525,2,1,0,0,0
